"Format","MoTeC CSV File",,,"Workbook",""
"Venue","ks_highlands",,,"Worksheet",""
"Vehicle","bmw_m3_gt2",,,"Vehicle Desc",""
"Driver","jhbae159",,,"Engine ID",""
"Device","ADL"
"Comment","Tires: Slick Medium (M)",,,"Session","PRACTICE"
"Log Date","2021-04-11",,,"Origin Time","542.045","s"
"Log Time","오후 1:54:00",,,"Start Time","542.050","s"
"Sample Rate","20.000","Hz",,"End Time","609.050","s"
"Duration","67.000","s",,"Start Distance","8834.1","m"
"Range","Lap 5",,,"End Distance","10556.5","m"


"Time","Distance","GPS Latitude","GPS Longitude","Damper Velocity (Calc) FL","Damper Velocity (Calc) FR","Damper Velocity (Calc) RL","Damper Velocity (Calc) RR","Corr Dist","Corr Dist (Unstretched)","Corr Speed","ABS Active","ABS Enabled","AID Allow Tire Blankets","AID Auto Blip","AID Auto Clutch","AID Auto Shift","AID Fuel Rate","AID Ideal Line","AID Mech Damage","AID Stability","AID Tire Wear Rate","Air Density","Air Temp","Ballast","Best Lap Delta","Best Lap Time","Brake Bias","Brake Pos","Brake Temp FL","Brake Temp FR","Brake Temp RL","Brake Temp RR","CG Accel Lateral","CG Accel Longitudinal","CG Accel Vertical","CG Height","Camber FL","Camber FR","Camber RL","Camber RR","Car Coord X","Car Coord Y","Car Coord Z","Car Damage Front","Car Damage Left","Car Damage Rear","Car Damage Right","Car Pos Norm","Caster FL","Caster FR","Chassis Pitch Angle","Chassis Pitch Rate","Chassis Roll Angle","Chassis Roll Rate","Chassis Velocity X","Chassis Velocity Y","Chassis Velocity Z","Chassis Yaw Rate","Clutch Pos","DRS Active","DRS Available","Drive Train Speed","ERS Heat Charging","ERS Is Charging","ERS Max Energy","ERS Power Level","ERS Recovery Level","Engine Brake Setting","Engine Limiter","Engine RPM","Flags","Fuel Level","Gear","Ground Speed","HR Sample Clock","In Pit","KERS Charge","KERS Deployed Energy","KERS Input","KERS Max Energy","LR Sample Clock","Lap Invalidated","Lap Time","Lap Time2","Last Lap Time","Last Sector Time","MR Sample Clock","Max Fuel","Max Power","Max RPM","Max Sus Travel FL","Max Sus Travel FR","Max Sus Travel RL","Max Sus Travel RR","Max Torque","Max Turbo Boost","Num Tires Off Track","Penalties Enabled","Position","Raw Data Sample Rate","Ride Height FL","Ride Height FR","Ride Height RL","Ride Height RR","Road Temp","Self Align Torque FL","Self Align Torque FR","Self Align Torque RL","Self Align Torque RR","Session Lap Count","Session Time Left","Steering Angle","Surface Grip","Suspension Travel FL","Suspension Travel FR","Suspension Travel RL","Suspension Travel RR","TC Active","TC Enabled","Throttle Pos","Tire Dirt Level FL","Tire Dirt Level FR","Tire Dirt Level RL","Tire Dirt Level RR","Tire Load FL","Tire Load FR","Tire Load RL","Tire Load RR","Tire Loaded Radius FL","Tire Loaded Radius FR","Tire Loaded Radius RL","Tire Loaded Radius RR","Tire Pressure FL","Tire Pressure FR","Tire Pressure RL","Tire Pressure RR","Tire Radius FL","Tire Radius FR","Tire Radius RL","Tire Radius RR","Tire Rubber Grip FL","Tire Rubber Grip FR","Tire Rubber Grip RL","Tire Rubber Grip RR","Tire Slip Angle FL","Tire Slip Angle FR","Tire Slip Angle RL","Tire Slip Angle RR","Tire Slip Ratio FL","Tire Slip Ratio FR","Tire Slip Ratio RL","Tire Slip Ratio RR","Tire Temp Core FL","Tire Temp Core FR","Tire Temp Core RL","Tire Temp Core RR","Tire Temp Inner FL","Tire Temp Inner FR","Tire Temp Inner RL","Tire Temp Inner RR","Tire Temp Middle FL","Tire Temp Middle FR","Tire Temp Middle RL","Tire Temp Middle RR","Tire Temp Outer FL","Tire Temp Outer FR","Tire Temp Outer RL","Tire Temp Outer RR","Toe In FL","Toe In FR","Toe In RL","Toe In RR","Turbo Boost","Wheel Angular Speed FL","Wheel Angular Speed FR","Wheel Angular Speed RL","Wheel Angular Speed RR","Wind Direction","Wind Speed"
"s","m","deg","deg","mm/s","mm/s","mm/s","mm/s","m","m","km/h","","","","","","","","","%","%","","kg/m3","C","kg","s","s","%","%","C","C","C","C","G","G","G","mm","deg","deg","deg","deg","m","m","m","","","","","","deg","deg","deg","deg/s","deg","deg/s","m/s","m/s","m/s","deg/s","%","","","rad/s","","","MJ","","","","","rpm","","l","","km/h","","","%","kJ","%","MJ","","","s","s","s","s","","l","hp","rpm","mm","mm","mm","mm","N.m","","","","","Hz","mm","mm","mm","mm","C","N.m","N.m","N.m","N.m","","s","deg","%","mm","mm","mm","mm","","","%","","","","","N","N","N","N","mm","mm","mm","mm","psi","psi","psi","psi","mm","mm","mm","mm","%","%","%","%","deg","deg","deg","deg","%","%","%","%","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","deg","deg","deg","deg","","rad/s","rad/s","rad/s","rad/s","deg","km/h"


"0.000","0.0","44.054639436054330","-78.681937710671804","-99.5","-80.9","2.1","99.1","8834.1","8834","120.9","0","1","1","0","1","1","0","0","0","100","1","1.186","26.0","0.0","26.97","71.123","66.0","0.0","26.0","26.0","26.0","26.0","-0.12","0.28","0.16","381.4","-2.31","-2.74","-1.55","-1.50","-737.43","691.79","5.7","0.00","0.00","0.00","0.00","0.00","-7.49","-7.49","-0.34","1.52","-0.10","-1.03","33.58","-0.03","-0.24","1.2","100.0","0","0","95.52","0","0","0.0","0","0","0","0","8209","0","30.00","2","120.9","1","0","0.0","0.0","0.0","0.0","0","0","0.007","0.007","98.093","26.940","1","110.00","435.8","8750","0.0","0.0","110.0","110.0","433.0","0.00","0","0","1","333.3","75.1","75.1","69.4","69.4","34.0","-23.1","8.17","-40.5","13.3","5","-574.210","1.3","100.0","20.0","18.1","33.6","36.1","0","1","41.3","0.00","0.00","0.00","0.00","4371","2653","6721","4862","314.3","317.7","339.7","342.9","26.17","22.52","27.57","26.03","325.0","325.0","355.0","355.0","99.78","99.97","99.78","99.86","-0.12","-0.06","-0.19","-0.02","-0.1","-0.1","1.2","1.3","89.6","66.7","92.1","82.4","98.9","69.2","92.2","81.6","94.4","66.7","90.8","79.4","90.8","66.0","89.2","77.8","0.09","-0.09","0.07","0.06","0.00","103.21","103.03","95.52","95.52","194.4","26.0"
"0.050","1.7","44.054624687179995","-78.681933034199446","21.4","25.1","121.6","24.4","8835.8","8836","121.3","0","1","1","0","1","1","0","0","0","100","1","1.186","26.0","0.0","-0.01","71.123","66.0","0.0","26.0","26.0","26.0","26.0","-0.02","0.22","0.01","380.8","-2.60","-2.67","-1.50","-2.22","-736.91","690.15","5.7","0.00","0.00","0.00","0.00","0.00","-7.49","-7.49","-0.35","-1.07","-0.01","2.53","33.71","-0.02","-0.34","1.2","100.0","0","0","96.00","0","0","0.0","0","0","0","0","8250","0","30.00","2","121.3","0","0","0.0","0.0","0.0","0.0","0","0","0.057","0.057","98.093","26.940","0","110.00","435.8","8750","0.0","0.0","110.0","110.0","433.0","0.00","0","0","1","166.7","73.6","73.6","64.9","64.9","34.0","-13.8","16.57","-22.1","13.3","5","-574.260","1.0","100.0","21.1","19.4","39.7","37.3","0","1","41.3","0.00","0.00","0.00","0.00","2906","4275","4403","3809","317.6","313.5","344.6","345.3","26.17","22.51","27.57","26.03","325.0","325.0","355.0","355.0","99.78","99.97","99.78","99.86","-0.08","-0.02","-0.16","-0.06","-0.0","-0.1","1.1","1.2","89.6","66.7","92.0","82.4","98.8","69.2","92.2","81.6","94.4","66.7","90.7","79.4","90.7","66.0","89.1","77.8","0.06","-0.07","0.05","0.06","0.00","103.41","103.41","96.00","96.00","194.4","26.0"
"0.100","3.4","44.054609938305653","-78.681928357727102","-24.7","-13.6","-104.4","-75.6","8837.5","8837","121.8","0","1","1","0","1","1","0","0","0","100","1","1.186","26.0","0.0","-0.01","71.123","66.0","0.0","26.0","26.0","26.0","26.0","-0.03","0.25","0.02","383.8","-2.84","-2.65","-1.68","-2.58","-736.39","688.51","5.7","0.00","0.00","0.00","0.00","0.00","-7.49","-7.49","-0.36","-0.81","0.05","1.84","33.84","-0.02","-0.30","1.1","100.0","0","0","96.30","0","0","0.0","0","0","0","0","8276","0","30.00","2","121.8","1","0","0.0","0.0","0.0","0.0","0","0","0.107","0.107","98.093","26.940","1","110.00","435.8","8750","0.0","0.0","110.0","110.0","433.0","0.00","0","0","1","166.7","76.5","76.5","70.5","70.5","34.0","-12.5","10.63","-24.1","24.9","5","-574.310","0.5","100.0","19.8","18.7","34.4","33.6","0","1","41.3","0.00","0.00","0.00","0.00","2627","3108","4366","4998","318.5","316.7","344.5","342.7","26.17","22.51","27.57","26.03","325.0","325.0","355.0","355.0","99.78","99.97","99.78","99.86","-0.07","-0.02","-0.18","-0.02","-0.1","-0.0","1.2","1.3","89.6","66.7","92.0","82.4","98.7","69.2","92.2","81.6","94.3","66.7","90.7","79.3","90.7","65.9","89.1","77.8","0.04","-0.04","0.06","0.05","0.00","103.84","103.75","96.30","96.30","194.4","26.0"
"0.150","5.1","44.054595998820766","-78.681923861119060","-28.7","-13.9","-25.6","24.2","8839.2","8839","122.2","0","1","1","0","1","1","0","0","0","100","1","1.186","26.0","0.0","-0.01","71.123","66.0","0.0","26.0","26.0","26.0","26.0","-0.04","0.22","-0.23","385.8","-2.48","-3.22","-2.90","-1.69","-735.89","686.96","5.7","0.00","0.00","0.00","0.00","0.00","-7.49","-7.49","-0.46","-3.29","-0.00","-2.86","33.96","-0.02","-0.33","0.4","100.0","0","0","96.75","0","0","0.0","0","0","0","0","8316","0","30.00","2","122.2","0","0","0.0","0.0","0.0","0.0","0","0","0.157","0.157","98.093","26.940","0","110.00","435.8","8750","0.0","0.0","110.0","110.0","433.0","0.00","0","0","1","333.3","79.0","79.0","73.0","73.0","34.0","-7.9","10.54","-30.4","14.1","5","-574.360","0.5","100.0","18.4","18.0","33.2","34.8","0","1","41.3","0.00","0.00","0.00","0.00","2095","2528","4343","3938","319.6","318.4","345.3","345.1","26.17","22.51","27.57","26.02","325.0","325.0","355.0","355.0","99.78","99.97","99.78","99.86","-0.04","-0.00","-0.15","0.04","-0.0","-0.1","1.3","1.4","89.6","66.7","92.0","82.4","98.7","69.1","92.1","81.5","94.2","66.6","90.6","79.3","90.6","65.9","89.0","77.8","0.04","-0.04","0.07","0.07","0.00","104.09","104.06","96.75","96.76","194.4","26.0"
"0.200","6.8","44.054581070082108","-78.681919184646716","33.2","21.7","-3.6","-95.1","8840.9","8841","122.7","0","1","1","0","1","1","0","0","0","100","1","1.186","26.0","0.0","-0.02","71.123","66.0","0.0","26.0","26.0","26.0","26.0","-0.05","0.24","0.12","384.1","-2.65","-2.40","-1.63","-1.99","-735.37","685.30","5.7","0.00","0.00","0.00","0.00","0.01","-7.49","-7.49","-0.66","-2.77","-0.18","-2.93","34.09","-0.02","-0.39","0.6","100.0","0","0","97.11","0","0","0.0","0","0","0","0","8346","0","30.00","2","122.7","1","0","0.0","0.0","0.0","0.0","0","0","0.207","0.207","98.093","26.940","1","110.00","435.8","8750","0.0","0.0","110.0","110.0","433.0","0.00","0","0","1","333.3","72.5","72.5","74.0","74.0","34.0","-25.5","15.33","-18.4","14.5","5","-574.410","0.6","100.0","20.1","19.1","33.0","30.0","0","1","41.3","0.00","0.00","0.00","0.00","4370","3860","4243","3328","313.6","314.6","345.0","346.4","26.18","22.51","27.56","26.02","325.0","325.0","355.0","355.0","99.78","99.97","99.78","99.86","-0.11","0.03","-0.10","0.07","-0.1","-0.0","1.4","1.5","89.6","66.7","92.0","82.4","98.6","69.1","92.1","81.5","94.1","66.6","90.6","79.3","90.5","65.9","89.0","77.7","0.04","-0.04","0.07","0.07","0.00","104.78","104.48","97.11","97.11","194.4","26.0"
"0.250","8.5","44.054567040665056","-78.681914688038688","-19.9","-27.3","-70.0","-47.0","8842.6","8843","123.1","0","1","1","0","1","1","0","0","0","100","1","1.186","26.0","0.0","-0.02","71.123","66.0","0.0","26.0","26.0","26.0","26.0","-0.05","0.25","-0.38","388.9","-2.75","-3.30","-1.29","-0.64","-734.87","683.74","5.7","0.00","0.00","0.00","0.00","0.01","-7.49","-7.49","-0.72","-0.82","-0.17","1.34","34.20","-0.03","-0.35","0.8","100.0","0","0","97.75","0","0","0.0","0","0","0","0","8401","0","30.00","2","123.1","0","0","0.0","0.0","0.0","0.0","0","0","0.253","0.253","98.093","26.940","0","110.00","435.8","8750","0.0","0.0","110.0","110.0","433.0","0.00","0","0","1","166.7","78.5","78.5","81.4","81.4","34.0","-14.9","7.01","-9.1","4.2","5","-574.450","1.0","100.0","19.1","17.7","29.5","27.7","0","1","40.9","0.00","0.00","0.00","0.00","3019","2091","2455","4243","318.4","319.2","349.1","344.6","26.18","22.51","27.56","26.02","325.0","325.0","355.0","355.0","99.78","99.97","99.78","99.86","-0.11","-0.08","-0.17","-0.01","-0.0","-0.1","1.6","1.7","89.6","66.7","92.0","82.4","98.5","69.1","92.0","81.5","94.1","66.6","90.5","79.2","90.5","65.8","88.9","77.7","0.05","-0.05","0.08","0.06","0.00","104.81","104.81","97.75","97.74","194.4","26.0"
"0.300","10.2","44.054552021994233","-78.681910011566330","69.3","20.7","81.1","101.2","8844.3","8844","123.6","0","1","1","0","1","1","0","0","0","100","1","1.186","26.0","0.0","-0.02","71.123","66.0","0.0","26.0","26.0","26.0","26.0","-0.08","0.18","0.16","382.3","-2.81","-2.93","-1.15","-2.48","-734.35","682.07","5.7","0.00","0.00","0.00","0.00","0.01","-7.49","-7.49","-0.76","-0.60","-0.10","2.34","34.33","-0.01","-0.39","1.0","100.0","0","0","97.74","0","0","0.0","0","0","0","0","8400","0","30.00","2","123.6","1","0","0.0","0.0","0.0","0.0","0","0","0.307","0.307","98.093","26.940","1","110.00","435.8","8750","0.0","0.0","110.0","110.0","433.0","0.00","0","0","1","333.3","70.4","70.4","80.2","80.2","34.0","-46.8","10.79","-12.2","19.7","5","-574.510","1.0","100.0","22.5","18.8","33.5","32.7","0","1","40.9","0.00","0.00","0.00","0.00","6453","3030","3109","4070","309.7","316.8","347.5","344.5","26.18","22.51","27.56","26.02","325.0","325.0","355.0","355.0","99.78","99.97","99.78","99.86","-0.18","-0.05","-0.16","-0.00","-0.1","-0.0","1.1","1.2","89.6","66.7","92.0","82.4","98.5","69.0","92.0","81.4","94.0","66.5","90.5","79.2","90.4","65.8","88.9","77.7","0.06","-0.06","0.07","0.05","0.00","105.50","105.28","97.74","97.74","194.4","26.0"
