Time,Distance,GPS Latitude,GPS Longitude,Damper Velocity (Calc) FL,Damper Velocity (Calc) FR,Damper Velocity (Calc) RL,Damper Velocity (Calc) RR,Corr Dist,Corr Dist (Unstretched),Corr Speed,ABS Active,ABS Enabled,AID Allow Tire Blankets,AID Auto Blip,AID Auto Clutch,AID Auto Shift,AID Fuel Rate,AID Ideal Line,AID Mech Damage,AID Stability,AID Tire Wear Rate,Air Density,Air Temp,Ballast,Best Lap Delta,Best Lap Time,Brake Bias,Brake Pos,Brake Temp FL,Brake Temp FR,Brake Temp RL,Brake Temp RR,CG Accel Lateral,CG Accel Longitudinal,CG Accel Vertical,CG Height,Camber FL,Camber FR,Camber RL,Camber RR,Car Coord X,Car Coord Y,Car Coord Z,Car Damage Front,Car Damage Left,Car Damage Rear,Car Damage Right,Car Pos Norm,Caster FL,Caster FR,Chassis Pitch Angle,Chassis Pitch Rate,Chassis Roll Angle,Chassis Roll Rate,Chassis Velocity X,Chassis Velocity Y,Chassis Velocity Z,Chassis Yaw Rate,Clutch Pos,DRS Active,DRS Available,Drive Train Speed,ERS Heat Charging,ERS Is Charging,ERS Max Energy,ERS Power Level,ERS Recovery Level,Engine Brake Setting,Engine Limiter,Engine RPM,Flags,Fuel Level,Gear,Ground Speed,HR Sample Clock,In Pit,KERS Charge,KERS Deployed Energy,KERS Input,KERS Max Energy,LR Sample Clock,Lap Invalidated,Lap Time,Lap Time2,Last Lap Time,Last Sector Time,MR Sample Clock,Max Fuel,Max Power,Max RPM,Max Sus Travel FL,Max Sus Travel FR,Max Sus Travel RL,Max Sus Travel RR,Max Torque,Max Turbo Boost,Num Tires Off Track,Penalties Enabled,Position,Raw Data Sample Rate,Ride Height FL,Ride Height FR,Ride Height RL,Ride Height RR,Road Temp,Self Align Torque FL,Self Align Torque FR,Self Align Torque RL,Self Align Torque RR,Session Lap Count,Session Time Left,Steering Angle,Surface Grip,Suspension Travel FL,Suspension Travel FR,Suspension Travel RL,Suspension Travel RR,TC Active,TC Enabled,Throttle Pos,Tire Dirt Level FL,Tire Dirt Level FR,Tire Dirt Level RL,Tire Dirt Level RR,Tire Load FL,Tire Load FR,Tire Load RL,Tire Load RR,Tire Loaded Radius FL,Tire Loaded Radius FR,Tire Loaded Radius RL,Tire Loaded Radius RR,Tire Pressure FL,Tire Pressure FR,Tire Pressure RL,Tire Pressure RR,Tire Radius FL,Tire Radius FR,Tire Radius RL,Tire Radius RR,Tire Rubber Grip FL,Tire Rubber Grip FR,Tire Rubber Grip RL,Tire Rubber Grip RR,Tire Slip Angle FL,Tire Slip Angle FR,Tire Slip Angle RL,Tire Slip Angle RR,Tire Slip Ratio FL,Tire Slip Ratio FR,Tire Slip Ratio RL,Tire Slip Ratio RR,Tire Temp Core FL,Tire Temp Core FR,Tire Temp Core RL,Tire Temp Core RR,Tire Temp Inner FL,Tire Temp Inner FR,Tire Temp Inner RL,Tire Temp Inner RR,Tire Temp Middle FL,Tire Temp Middle FR,Tire Temp Middle RL,Tire Temp Middle RR,Tire Temp Outer FL,Tire Temp Outer FR,Tire Temp Outer RL,Tire Temp Outer RR,Toe In FL,Toe In FR,Toe In RL,Toe In RR,Turbo Boost,Wheel Angular Speed FL,Wheel Angular Speed FR,Wheel Angular Speed RL,Wheel Angular Speed RR,Wind Direction,Wind Speed,CG Distance,Lateral Velocity,Longitudinal Velocity,Lateral Acceleration,Longitudinal Acceleration
s,m,deg,deg,mm/s,mm/s,mm/s,mm/s,m,m,km/h,,,,,,,,,%,%,,kg/m3,C,kg,s,s,%,%,C,C,C,C,G,G,G,mm,deg,deg,deg,deg,m,m,m,,,,,,deg,deg,deg,deg/s,deg,deg/s,m/s,m/s,m/s,deg/s,%,,,rad/s,,,MJ,,,,,rpm,,l,,km/h,,,%,kJ,%,MJ,,,s,s,s,s,,l,hp,rpm,mm,mm,mm,mm,N.m,,,,,Hz,mm,mm,mm,mm,C,N.m,N.m,N.m,N.m,,s,deg,%,mm,mm,mm,mm,,,%,,,,,N,N,N,N,mm,mm,mm,mm,psi,psi,psi,psi,mm,mm,mm,mm,%,%,%,%,deg,deg,deg,deg,%,%,%,%,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,deg,deg,deg,deg,,rad/s,rad/s,rad/s,rad/s,deg,km/h,G,Km/h,Km/h,Km/h^2,Km/h^2
0.000,0.0,44.054630173041787,-78.681935012706987,-5.7,-26.4,157.6,44.3,1571.2,1571,158.4,0,1,1,0,1,1,0,0,0,100,1,1.186,26.0,0.0,0.003,74.678,66.0,0.0,26.0,26.0,26.0,26.0,-0.22,-0.09,0.19,375.6,-3.46,-3.09,-1.51,-2.24,-737.13,690.76,5.7,0.00,0.00,0.00,0.00,0.00,-7.49,-7.49,-0.42,-1.39,-0.15,2.68,44.00,-0.10,-0.40,1.71,100.0,0,0,123.54,0,0,0.0,0,0,0,0,7983,0,30.00,0,158.4,0,0,0.0,0.0,0.0,0.0,1,0,0.030,0.030,74.679,19.926,0,110.00,435.8,8750,0.0,0.0,110.0,110.0,433.0,0.00,0,0,1,333.3,67.7,67.7,63.7,63.7,34.0,-53.94,12.95,-46.8,16.9,1,-77.290,1.6,100.0,24.2,20.1,40.8,36.7,0,1,0.0,0.00,0.00,0.00,0.00,5885,4367,5827,5334,310.4,313.1,340.0,341.0,24.58,23.04,25.27,24.51,325.0,325.0,355.0,355.0,99.67,99.59,99.66,99.62,-0.27,-0.15,-0.29,-0.14,-0.0,-0.0,-0.0,-0.0,79.6,70.0,77.7,73.0,83.9,69.1,82.0,74.8,81.2,67.1,80.5,73.0,79.2,66.0,79.9,72.1,0.09,-0.09,0.05,0.05,0.00,134.97,134.85,123.54,123.54,356.7,7.7,0.3043024810940588
0.050,2.2,44.054610657762943,-78.681929886573826,17.7,47.1,-83.5,-47.6,1573.4,1573,158.6,0,1,1,0,1,1,0,0,0,100,1,1.186,26.0,0.0,0.039,74.678,66.0,0.0,26.0,26.0,26.0,26.0,-0.16,0.66,0.04,379.2,-2.94,-2.53,-1.67,-2.65,-736.56,688.59,5.7,0.00,0.00,0.00,0.00,0.00,-7.49,-7.49,-0.44,1.22,0.01,3.79,44.06,-0.09,-0.44,2.02,100.0,0,0,125.15,0,0,0.0,0,0,0,0,6675,0,30.00,4,158.6,1,0,0.0,0.0,0.0,0.0,1,0,0.081,0.081,74.679,19.926,1,110.00,435.8,8750,0.0,0.0,110.0,110.0,433.0,0.00,0,0,1,166.7,69.3,69.3,68.2,68.2,34.0,-28.81,6.85,-28.2,11.6,1,-77.340,1.6,100.0,25.1,22.5,36.7,34.3,0,1,0.0,0.00,0.00,0.00,0.00,3927,3783,4866,4625,314.7,315.1,342.4,343.3,24.58,23.04,25.27,24.51,325.0,325.0,355.0,355.0,99.67,99.59,99.66,99.63,-0.22,-0.16,-0.29,-0.14,-0.1,-0.1,2.6,3.2,79.6,70.0,77.7,73.0,83.9,69.1,82.0,74.8,81.1,67.1,80.5,73.0,79.2,65.9,79.8,72.1,0.10,-0.10,0.07,0.06,0.00,135.17,135.02,125.05,125.24,356.7,7.7,0.680294054067798,156.2841425103954,40.69149333882938
0.100,4.4,44.054591142484092,-78.681924850372837,-123.0,-22.1,12.2,56.7,1575.6,1576,158.4,0,1,1,0,1,1,0,0,0,100,1,1.186,26.0,0.0,0.111,74.678,66.0,0.0,26.0,26.0,26.0,26.0,-0.07,-0.17,-0.28,382.9,-3.09,-2.96,-1.33,-2.45,-736.00,686.42,5.7,0.00,0.00,0.00,0.00,0.00,-7.49,-7.49,-0.48,-3.30,0.05,-2.23,44.00,-0.09,-0.45,1.22,100.0,0,0,123.25,0,0,0.0,0,0,0,0,6574,0,30.00,4,158.4,0,0,0.0,0.0,0.0,0.0,0,0,0.131,0.131,74.679,19.926,0,110.00,435.8,8750,0.0,0.0,110.0,110.0,433.0,0.00,0,0,1,333.3,76.9,76.9,64.8,64.8,34.0,-11.96,8.18,-29.3,12.4,1,-77.390,1.6,100.0,18.9,21.4,37.3,37.1,0,1,0.0,0.00,0.00,0.00,0.00,2187,2969,4739,3234,319.7,317.1,343.1,346.1,24.58,23.04,25.27,24.52,325.0,325.0,355.0,355.0,99.67,99.59,99.66,99.63,-0.14,-0.13,-0.22,-0.10,0.0,0.0,-0.3,-0.2,79.6,70.0,77.7,73.0,83.8,69.0,81.9,74.7,81.0,67.1,80.4,73.0,79.1,65.9,79.8,72.1,0.10,-0.09,0.06,0.06,0.00,134.81,134.82,123.25,123.25,356.7,7.7,0.33496268448888455,151.60282027618393,39.61118818378344,-46.813222342114784,-10.80305098143576
0.150,6.6,44.054572796323335,-78.681919994036164,41.0,-39.7,-34.0,-100.5,1577.8,1578,158.2,0,1,1,0,1,1,0,0,0,100,1,1.186,26.0,0.0,0.147,74.678,66.0,0.0,26.0,26.0,26.0,26.0,-0.10,-0.13,-0.27,385.6,-1.99,-3.19,-1.49,-1.73,-735.46,684.38,5.7,0.00,0.00,0.00,0.00,0.01,-7.49,-7.49,-0.66,-3.69,-0.09,-0.54,43.92,-0.07,-0.52,0.93,100.0,0,0,122.96,0,0,0.0,0,0,0,0,6559,0,30.00,4,158.2,1,0,0.0,0.0,0.0,0.0,0,0,0.180,0.180,74.679,19.926,1,110.00,435.8,8750,0.0,0.0,110.0,110.0,433.0,0.00,0,0,1,333.3,76.3,76.3,74.6,74.6,34.0,-13.93,6.93,-16.2,7.6,1,-77.440,0.7,100.0,21.0,19.4,35.6,32.1,0,1,0.0,0.00,0.00,0.00,0.00,3024,2195,3090,2699,316.9,319.4,346.6,347.8,24.58,23.04,25.27,24.52,325.0,325.0,355.0,355.0,99.67,99.59,99.66,99.63,-0.13,-0.10,-0.16,-0.05,0.0,0.0,-0.3,-0.3,79.6,70.0,77.7,73.0,83.8,69.0,81.9,74.7,81.0,67.0,80.4,72.9,79.1,65.9,79.7,72.0,0.05,-0.05,0.06,0.06,0.00,134.64,134.50,122.96,122.96,356.7,7.7,0.3159113799786263,151.60282027618393,39.611188240685806,46.81322262662661,3.60101756283548
0.200,8.8,44.054553281044484,-78.681914957835161,23.9,-4.0,-83.0,-32.6,1580.0,1580,157.9,0,1,1,0,1,1,0,0,0,100,1,1.186,26.0,0.0,0.180,74.678,66.0,0.0,26.0,26.0,26.0,26.0,-0.15,-0.16,0.05,383.4,-1.91,-2.28,-1.26,-1.78,-734.90,682.21,5.7,0.00,0.00,0.00,0.00,0.01,-7.49,-7.49,-0.83,-2.80,-0.16,-0.84,43.84,-0.07,-0.55,0.84,100.0,0,0,122.72,0,0,0.0,0,0,0,0,6546,0,30.00,4,157.9,0,0,0.0,0.0,0.0,0.0,0,0,0.231,0.231,74.679,19.926,0,110.00,435.8,8750,0.0,0.0,110.0,110.0,433.0,0.00,0,0,1,166.7,70.7,70.7,76.4,76.4,34.0,-28.98,11.24,-28.2,6.5,1,-77.490,0.1,100.0,22.2,19.2,31.4,30.5,0,1,0.0,0.00,0.00,0.00,0.00,5285,3773,4516,2312,311.4,315.2,343.2,348.3,24.58,23.04,25.27,24.52,325.0,325.0,355.0,355.0,99.67,99.59,99.66,99.63,-0.16,-0.04,-0.24,-0.06,-0.1,-0.0,-0.3,-0.2,79.6,70.0,77.7,73.0,83.7,69.0,81.8,74.6,80.9,67.0,80.3,72.9,79.0,65.8,79.7,72.0,0.01,-0.02,0.08,0.06,0.00,134.51,134.37,122.71,122.71,356.7,7.7,0.22494443758403987,156.2841425388466,39.97128994006699,3.601017278323866,-7.2020351256713155
0.250,11.0,44.054533765765633,-78.681910011566330,116.5,45.0,-61.1,-24.4,1582.2,1582,158.3,0,1,1,0,1,1,0,0,0,100,1,1.186,26.0,0.0,0.252,74.678,66.0,0.0,26.0,26.0,26.0,26.0,-0.09,0.38,0.14,381.3,-2.11,-2.96,-1.71,-1.91,-734.35,680.04,5.7,0.00,0.00,0.00,0.00,0.01,-7.49,-7.49,-0.77,4.86,0.15,7.89,43.98,-0.06,-0.49,0.91,100.0,0,0,126.28,0,0,0.0,0,0,0,0,6736,0,30.00,4,158.3,1,0,0.0,0.0,0.0,0.0,0,0,0.281,0.281,74.679,19.926,1,110.00,435.8,8750,0.0,0.0,110.0,110.0,433.0,0.00,0,0,1,333.3,66.4,66.4,81.3,81.3,34.0,-24.07,16.10,-22.7,10.8,1,-77.540,-0.9,100.0,28.0,21.4,28.4,29.3,0,1,100.0,0.00,0.00,0.00,0.00,4625,3950,3882,4798,312.5,314.1,345.3,342.3,24.58,23.04,25.27,24.52,325.0,325.0,355.0,355.0,99.67,99.59,99.66,99.63,-0.12,-0.05,-0.28,-0.10,-0.1,-0.1,2.1,2.2,79.6,70.0,77.7,73.0,83.7,68.9,81.8,74.6,80.9,67.0,80.3,72.9,79.0,65.8,79.6,72.0,-0.03,0.03,0.08,0.07,0.00,135.12,135.02,126.28,126.28,356.7,7.7,0.4148493702538308,151.96292200401632,38.890984728118674,-39.61118835449071,-7.202034556647519
0.300,13.2,44.054515329672711,-78.681905245161829,-96.6,97.5,182.4,98.8,1584.4,1584,158.9,0,1,1,0,1,1,0,0,0,100,1,1.186,26.0,0.0,0.288,74.678,66.0,0.0,26.0,26.0,26.0,26.0,-0.03,0.43,0.24,375.5,-3.92,-2.30,-2.02,-1.33,-733.82,677.99,5.7,0.00,0.00,0.00,0.00,0.01,-7.49,-7.49,-0.49,6.49,0.35,1.24,44.16,-0.03,-0.35,-0.60,100.0,0,0,126.26,0,0,0.0,0,0,0,0,6735,0,30.00,4,158.9,0,0,0.0,0.0,0.0,0.0,0,0,0.330,0.330,74.679,19.926,0,110.00,435.8,8750,0.0,0.0,110.0,110.0,433.0,0.00,0,0,1,333.3,66.6,66.6,57.6,57.6,34.0,-16.46,35.03,-33.7,19.1,1,-77.590,-2.8,100.0,23.2,26.3,37.5,34.2,0,1,100.0,0.00,0.00,0.00,0.00,3104,6227,5713,6323,316.9,308.5,340.6,338.9,24.58,23.04,25.28,24.52,325.0,325.0,355.0,355.0,99.67,99.59,99.66,99.63,0.04,0.12,-0.15,0.02,-0.1,-0.1,1.8,1.7,79.6,70.0,77.7,73.0,83.6,68.9,81.8,74.6,80.9,66.9,80.3,72.9,78.9,65.8,79.6,72.0,-0.14,0.15,0.06,0.05,0.00,135.58,135.73,126.26,126.26,356.7,7.7,0.4933558553417604,152.32302370339752,39.25108648440224,57.616273608061874,14.404069113295037
0.350,15.4,44.054495724461702,-78.681900208960826,-7.5,-81.6,71.0,188.6,1586.6,1587,159.6,0,1,1,0,1,1,0,0,0,100,1,1.186,26.0,0.0,0.324,74.678,66.0,0.0,26.0,26.0,26.0,26.0,0.06,0.38,0.08,376.6,-2.51,-2.46,-2.66,-1.56,-733.26,675.81,5.7,0.00,0.00,0.00,0.00,0.01,-7.49,-7.49,-0.18,4.13,0.30,-1.38,44.35,-0.00,-0.23,-1.70,100.0,0,0,126.71,0,0,0.0,0,0,0,0,6759,0,30.00,4,159.6,1,0,0.0,0.0,0.0,0.0,0,0,0.381,0.381,74.679,19.926,1,110.00,435.8,8750,0.0,0.0,110.0,110.0,433.0,0.00,0,0,1,166.7,74.4,74.4,61.3,61.3,34.0,-1.18,14.05,-30.7,31.4,1,-77.640,-5.7,100.0,22.8,22.2,41.0,43.6,0,1,100.0,0.00,0.00,0.00,0.00,2487,2422,5386,6494,318.2,318.8,341.3,338.2,24.58,23.04,25.28,24.52,325.0,325.0,355.0,355.0,99.67,99.59,99.67,99.63,0.25,0.23,-0.02,0.11,-0.0,-0.1,1.6,1.5,79.6,70.0,77.7,73.0,83.6,68.9,81.8,74.6,80.8,66.9,80.3,72.9,78.9,65.7,79.6,72.0,-0.31,0.29,0.06,0.04,0.00,136.11,136.12,126.71,126.71,356.7,7.7,0.39293765408777,157.7245493648225,40.33139163944818,14.404068259759697,3.6010169938120384
0.400,17.6,44.054475939386371,-78.681895172759837,-185.8,-119.8,89.5,15.6,1588.9,1589,160.3,0,1,1,0,1,1,0,0,0,100,1,1.186,26.0,0.0,0.360,74.678,66.0,0.0,26.0,26.0,26.0,26.0,0.16,0.40,-0.12,379.9,-2.62,-2.47,-1.81,-2.58,-732.70,673.61,5.7,0.00,0.00,0.00,0.00,0.01,-7.49,-7.49,-0.25,-5.90,0.12,-2.30,44.55,0.03,-0.27,-2.63,100.0,0,0,127.18,0,0,0.0,0,0,0,0,6784,0,30.00,4,160.3,0,0,0.0,0.0,0.0,0.0,0,0,0.431,0.431,74.679,19.926,0,110.00,435.8,8750,0.0,0.0,110.0,110.0,433.0,0.00,0,0,1,333.3,82.8,82.8,52.2,52.2,34.0,1.90,27.30,-15.5,33.3,1,-77.690,-8.5,100.0,13.5,16.2,45.5,44.4,0,1,100.0,0.00,0.00,0.00,0.00,1569,3066,6015,4748,321.0,316.1,339.6,342.0,24.58,23.04,25.28,24.52,325.0,325.0,355.0,355.0,99.67,99.59,99.67,99.63,0.43,0.46,0.08,0.16,-0.0,-0.1,1.9,1.7,79.6,70.0,77.7,73.0,83.5,68.9,81.7,74.6,80.7,66.9,80.2,72.9,78.8,65.7,79.6,72.0,-0.47,0.47,0.04,0.04,0.00,136.23,136.47,127.18,127.18,356.7,7.7,0.447213595499958,153.7634305293735,39.61118818378344,-36.01017107616684,0.0
