"Format","MoTeC CSV File",,,"Workbook",""
"Venue","ks_highlands",,,"Worksheet",""
"Vehicle","bmw_m3_gt2",,,"Vehicle Desc",""
"Driver","jhbae159",,,"Engine ID",""
"Device","ADL"
"Comment","Tires: Slick Medium (M)",,,"Session","PRACTICE"
"Log Date","2021-04-11",,,"Origin Time","395.649","s"
"Log Time","오후 4:15:00",,,"Start Time","395.650","s"
"Sample Rate","20.000","Hz",,"End Time","443.950","s"
"Duration","48.300","s",,"Start Distance","13625.6","m"
"Range","Lap 8",,,"End Distance","15346.2","m"


"Time","Distance","GPS Latitude","GPS Longitude","Damper Velocity (Calc) FL","Damper Velocity (Calc) FR","Damper Velocity (Calc) RL","Damper Velocity (Calc) RR","Corr Dist","Corr Dist (Unstretched)","Corr Speed","ABS Active","ABS Enabled","AID Allow Tire Blankets","AID Auto Blip","AID Auto Clutch","AID Auto Shift","AID Fuel Rate","AID Ideal Line","AID Mech Damage","AID Stability","AID Tire Wear Rate","Air Density","Air Temp","Ballast","Best Lap Delta","Best Lap Time","Brake Bias","Brake Pos","Brake Temp FL","Brake Temp FR","Brake Temp RL","Brake Temp RR","CG Accel Lateral","CG Accel Longitudinal","CG Accel Vertical","CG Height","Camber FL","Camber FR","Camber RL","Camber RR","Car Coord X","Car Coord Y","Car Coord Z","Car Damage Front","Car Damage Left","Car Damage Rear","Car Damage Right","Car Pos Norm","Caster FL","Caster FR","Chassis Pitch Angle","Chassis Pitch Rate","Chassis Roll Angle","Chassis Roll Rate","Chassis Velocity X","Chassis Velocity Y","Chassis Velocity Z","Chassis Yaw Rate","Clutch Pos","DRS Active","DRS Available","Drive Train Speed","ERS Heat Charging","ERS Is Charging","ERS Max Energy","ERS Power Level","ERS Recovery Level","Engine Brake Setting","Engine Limiter","Engine RPM","Flags","Fuel Level","Gear","Ground Speed","HR Sample Clock","In Pit","KERS Charge","KERS Deployed Energy","KERS Input","KERS Max Energy","LR Sample Clock","Lap Invalidated","Lap Time","Lap Time2","Last Lap Time","Last Sector Time","MR Sample Clock","Max Fuel","Max Power","Max RPM","Max Sus Travel FL","Max Sus Travel FR","Max Sus Travel RL","Max Sus Travel RR","Max Torque","Max Turbo Boost","Num Tires Off Track","Penalties Enabled","Position","Raw Data Sample Rate","Ride Height FL","Ride Height FR","Ride Height RL","Ride Height RR","Road Temp","Self Align Torque FL","Self Align Torque FR","Self Align Torque RL","Self Align Torque RR","Session Lap Count","Session Time Left","Steering Angle","Surface Grip","Suspension Travel FL","Suspension Travel FR","Suspension Travel RL","Suspension Travel RR","TC Active","TC Enabled","Throttle Pos","Tire Dirt Level FL","Tire Dirt Level FR","Tire Dirt Level RL","Tire Dirt Level RR","Tire Load FL","Tire Load FR","Tire Load RL","Tire Load RR","Tire Loaded Radius FL","Tire Loaded Radius FR","Tire Loaded Radius RL","Tire Loaded Radius RR","Tire Pressure FL","Tire Pressure FR","Tire Pressure RL","Tire Pressure RR","Tire Radius FL","Tire Radius FR","Tire Radius RL","Tire Radius RR","Tire Rubber Grip FL","Tire Rubber Grip FR","Tire Rubber Grip RL","Tire Rubber Grip RR","Tire Slip Angle FL","Tire Slip Angle FR","Tire Slip Angle RL","Tire Slip Angle RR","Tire Slip Ratio FL","Tire Slip Ratio FR","Tire Slip Ratio RL","Tire Slip Ratio RR","Tire Temp Core FL","Tire Temp Core FR","Tire Temp Core RL","Tire Temp Core RR","Tire Temp Inner FL","Tire Temp Inner FR","Tire Temp Inner RL","Tire Temp Inner RR","Tire Temp Middle FL","Tire Temp Middle FR","Tire Temp Middle RL","Tire Temp Middle RR","Tire Temp Outer FL","Tire Temp Outer FR","Tire Temp Outer RL","Tire Temp Outer RR","Toe In FL","Toe In FR","Toe In RL","Toe In RR","Turbo Boost","Wheel Angular Speed FL","Wheel Angular Speed FR","Wheel Angular Speed RL","Wheel Angular Speed RR","Wind Direction","Wind Speed"
"s","m","deg","deg","mm/s","mm/s","mm/s","mm/s","m","m","km/h","","","","","","","","","%","%","","kg/m3","C","kg","s","s","%","%","C","C","C","C","G","G","G","mm","deg","deg","deg","deg","m","m","m","","","","","","deg","deg","deg","deg/s","deg","deg/s","m/s","m/s","m/s","deg/s","%","","","rad/s","","","MJ","","","","","rpm","","l","","km/h","","","%","kJ","%","MJ","","","s","s","s","s","","l","hp","rpm","mm","mm","mm","mm","N.m","","","","","Hz","mm","mm","mm","mm","C","N.m","N.m","N.m","N.m","","s","deg","%","mm","mm","mm","mm","","","%","","","","","N","N","N","N","mm","mm","mm","mm","psi","psi","psi","psi","mm","mm","mm","mm","%","%","%","%","deg","deg","deg","deg","%","%","%","%","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","deg","deg","deg","deg","","rad/s","rad/s","rad/s","rad/s","deg","km/h"


"0.000","0.0","44.054629633448826","-78.681971435232015","-94.3","54.6","104.7","10.0","13625.6","13626","172.1","0","1","1","0","1","1","0","0","0","100","1","1.186","26.0","0.0","-0.216","47.964","66.0","0.0","26.0","26.0","26.0","26.0","0.40","0.25","0.10","378.5","-2.78","-1.56","-0.42","-1.35","-741.18","690.70","5.7","0.00","0.00","0.00","0.00","0.00","-7.49","-7.49","-0.20","-0.05","0.55","-4.48","47.80","0.31","-0.39","-3.55","100.0","0","0","136.77","0","0","0.0","0","0","0","0","7295","0","30.00","4","172.1","1","0","0.0","0.0","0.0","0.0","1","0","0.003","0.003","47.964","17.218","1","110.00","435.8","8750","0.0","0.0","110.0","110.0","433.0","0.00","0","0","1","333.3","72.6","72.6","57.7","57.7","34.0","1.15","44.5","8.2","57.4","8","-403.760","-1.7","100.0","15.8","27.3","40.9","42.6","0","1","100.0","0.00","0.00","0.00","0.00","1923","5439","2080","5840","320.5","310.1","348.5","340.2","26.73","23.13","27.06","25.08","325.0","325.0","355.0","355.0","99.72","99.93","99.74","99.85","0.38","0.42","0.45","0.57","-0.1","-0.1","1.8","1.5","93.0","70.6","88.9","76.5","99.2","71.1","93.6","78.5","95.7","68.1","92.1","76.1","91.9","66.4","90.6","74.6","-0.11","0.11","0.06","0.05","0.00","146.34","146.72","136.76","136.77","56.6","15.7"
"0.050","2.4","44.054609668509173","-78.681966129234539","96.3","-63.6","-111.2","-6.3","13628.0","13628","172.6","0","1","1","0","1","1","0","0","0","100","1","1.186","26.0","0.0","-0.006","47.964","66.0","0.0","26.0","26.0","26.0","26.0","0.31","0.37","0.06","378.8","-2.06","-2.54","-1.71","-1.37","-740.59","688.48","5.7","0.00","0.00","0.00","0.00","0.00","-7.49","-7.49","-0.17","0.66","0.10","-7.34","47.96","0.26","-0.36","-2.06","100.0","0","0","136.85","0","0","0.0","0","0","0","0","7300","0","30.00","4","172.6","0","0","0.0","0.0","0.0","0.0","1","0","0.051","0.051","47.964","17.415","0","110.00","435.8","8750","0.0","0.0","110.0","110.0","433.0","0.00","0","0","1","333.3","73.4","73.4","66.8","66.8","34.0","5.54","15.2","7.4","58.8","8","-403.810","-1.7","100.0","20.6","24.1","35.3","42.3","0","1","100.0","0.00","0.00","0.00","0.00","3425","2061","5487","6229","316.2","318.8","341.9","339.1","26.73","23.13","27.06","25.08","325.0","325.0","355.0","355.0","99.72","99.93","99.74","99.85","0.37","0.37","0.37","0.52","-0.0","-0.0","1.7","1.6","93.0","70.6","88.9","76.5","99.2","71.1","93.6","78.5","95.6","68.0","92.0","76.1","91.8","66.3","90.6","74.6","-0.08","0.08","0.07","0.03","0.00","147.00","147.05","136.85","136.85","56.6","15.7"
"0.100","4.8","44.054588354587111","-78.681960373576260","-160.8","-217.5","77.6","-41.2","13630.4","13630","173.3","0","1","1","0","1","1","0","0","0","100","1","1.186","26.0","0.0","-0.006","47.964","66.0","0.0","26.0","26.0","26.0","26.0","0.17","0.36","-0.17","385.7","-2.36","-2.97","-1.67","-1.21","-739.95","686.11","5.7","0.00","0.00","0.00","0.00","0.00","-7.49","-7.49","-0.34","-6.65","-0.07","0.55","48.14","0.20","-0.38","-0.28","100.0","0","0","137.19","0","0","0.0","0","0","0","0","7318","0","30.00","4","173.3","1","0","0.0","0.0","0.0","0.0","1","0","0.102","0.102","47.964","17.415","1","110.00","435.8","8750","0.0","0.0","110.0","110.0","433.0","0.00","0","0","1","333.3","86.8","86.8","66.5","66.5","34.0","2.42","4.2","-4.7","28.1","8","-403.860","-3.2","100.0","12.5","13.2","39.2","40.2","0","1","100.0","0.00","0.00","0.00","0.00","2625","710","5467","4466","318.5","322.8","341.8","343.4","26.73","23.13","27.07","25.08","325.0","325.0","355.0","355.0","99.72","99.93","99.74","99.85","0.35","0.36","0.19","0.33","-0.1","-0.0","1.7","1.6","93.0","70.5","88.9","76.5","99.1","71.1","93.5","78.5","95.6","68.0","92.0","76.1","91.7","66.3","90.5","74.6","-0.15","0.16","0.05","0.05","0.00","147.37","147.26","137.19","137.19","56.6","15.7"
"0.150","7.2","44.054567040665056","-78.681954617917995","66.1","240.0","-301.0","-189.0","13632.8","13633","173.8","0","1","1","0","1","1","0","0","0","100","1","1.186","26.0","0.0","-0.009","47.964","66.0","0.0","26.0","26.0","26.0","26.0","0.25","0.41","-0.17","386.3","-2.77","-2.33","-1.62","-1.57","-739.31","683.74","5.7","0.00","0.00","0.00","0.00","0.01","-7.49","-7.49","-0.64","-1.52","0.21","0.34","48.27","0.14","-0.49","-2.42","100.0","0","0","139.38","0","0","0.0","0","0","0","0","7435","0","30.00","4","173.8","0","0","0.0","0.0","0.0","0.0","1","0","0.153","0.153","47.964","17.415","0","110.00","435.8","8750","0.0","0.0","110.0","110.0","433.0","0.00","0","0","1","166.7","71.8","71.8","73.7","73.7","34.0","-0.33","55.9","-2.9","16.0","8","-403.910","-4.4","100.0","15.9","25.2","24.2","30.8","0","1","100.0","0.00","0.00","0.00","0.00","2426","5877","3285","3302","319.2","309.1","347.3","346.2","26.73","23.13","27.07","25.08","325.0","325.0","355.0","355.0","99.72","99.93","99.74","99.85","0.31","0.43","0.15","0.29","-0.1","-0.0","2.9","2.8","93.0","70.5","88.9","76.5","99.0","71.0","93.5","78.5","95.5","68.0","91.9","76.0","91.6","66.3","90.5","74.6","-0.25","0.25","0.10","0.07","0.00","147.78","148.20","139.38","139.38","56.6","15.7"
"0.200","9.6","44.054546895861080","-78.681949042124032","34.8","51.1","118.4","76.3","13635.3","13635","174.4","0","1","1","0","1","1","0","0","0","100","1","1.186","26.0","0.0","-0.009","47.964","66.0","0.0","26.0","26.0","26.0","26.0","0.32","0.40","0.12","380.3","-2.67","-2.76","-1.28","-1.50","-738.69","681.50","5.7","0.00","0.00","0.00","0.00","0.01","-7.49","-7.49","-0.54","3.10","0.05","-5.88","48.46","0.14","-0.39","-3.38","100.0","0","0","138.01","0","0","0.0","0","0","0","0","7362","0","30.00","4","174.4","1","0","0.0","0.0","0.0","0.0","1","0","0.201","0.201","47.964","17.415","1","110.00","435.8","8750","0.0","0.0","110.0","110.0","433.0","0.00","0","0","1","333.3","72.2","72.2","64.9","64.9","34.0","0.59","36.0","0.7","65.7","8","-403.960","-4.3","100.0","17.6","27.8","30.1","34.6","0","1","100.0","0.00","0.00","0.00","0.00","2290","4036","4971","7101","319.3","313.4","342.8","336.8","26.73","23.13","27.07","25.08","325.0","325.0","355.0","355.0","99.72","99.93","99.74","99.85","0.33","0.38","0.21","0.44","-0.1","-0.1","1.6","1.5","93.0","70.5","88.9","76.5","98.9","71.0","93.4","78.5","95.4","68.0","91.9","76.0","91.5","66.3","90.4","74.6","-0.25","0.26","0.09","0.07","0.00","148.53","148.79","138.01","138.01","56.6","15.7"
"0.250","12.1","44.054525492006860","-78.681943106601437","65.5","-86.3","134.5","160.4","13637.7","13638","175.0","0","1","1","0","1","1","0","0","0","100","1","1.186","26.0","0.0","-0.009","47.964","66.0","0.0","26.0","26.0","26.0","26.0","0.28","0.35","-0.04","377.8","-3.28","-2.41","-1.14","-1.83","-738.03","679.12","5.7","0.00","0.00","0.00","0.00","0.01","-7.49","-7.49","-0.43","1.61","-0.39","-6.59","48.62","0.14","-0.36","-3.06","100.0","0","0","138.87","0","0","0.0","0","0","0","0","7407","0","30.00","4","175.0","0","0","0.0","0.0","0.0","0.0","1","0","0.252","0.252","47.964","17.415","0","110.00","435.8","8750","0.0","0.0","110.0","110.0","433.0","0.00","0","0","1","333.3","72.5","72.5","61.8","61.8","34.0","-1.20","31.1","5.6","36.0","8","-404.010","-4.3","100.0","20.9","23.5","36.8","42.6","0","1","100.0","0.00","0.00","0.00","0.00","3233","3807","5803","4604","317.4","314.7","340.6","343.1","26.73","23.13","27.07","25.08","325.0","325.0","355.0","355.0","99.72","99.93","99.74","99.85","0.35","0.39","0.25","0.35","-0.0","-0.1","1.8","1.5","93.0","70.5","88.9","76.5","98.8","71.0","93.4","78.4","95.3","67.9","91.8","76.0","91.5","66.2","90.4","74.6","-0.25","0.24","0.05","0.03","0.00","148.95","149.15","138.87","138.87","56.6","15.7"
"0.300","14.5","44.054503998220476","-78.681937081146671","28.6","-15.0","100.1","-22.8","13640.1","13640","175.6","0","1","1","0","1","1","0","0","0","100","1","1.186","26.0","0.0","-0.009","47.964","66.0","0.0","26.0","26.0","26.0","26.0","0.17","0.26","0.02","377.3","-2.26","-2.53","-2.15","-1.61","-737.36","676.73","5.7","0.00","0.00","0.00","0.00","0.01","-7.49","-7.49","-0.39","0.27","-0.46","3.59","48.78","0.13","-0.37","-2.48","100.0","0","0","139.49","0","0","0.0","0","0","0","0","7441","0","30.00","4","175.6","1","0","0.0","0.0","0.0","0.0","1","0","0.303","0.303","47.964","17.415","1","110.00","435.8","8750","0.0","0.0","110.0","110.0","433.0","0.00","0","0","1","166.7","71.1","71.1","63.6","63.6","34.0","0.91","26.9","-9.9","30.6","8","-404.060","-4.5","100.0","22.3","22.7","41.8","41.5","0","1","100.0","0.00","0.00","0.00","0.00","3926","3557","4173","5016","315.3","315.3","344.7","342.5","26.73","23.13","27.07","25.09","325.0","325.0","355.0","355.0","99.72","99.93","99.74","99.85","0.28","0.32","0.13","0.24","-0.0","-0.1","1.7","1.5","93.0","70.5","88.9","76.5","98.7","71.0","93.3","78.4","95.2","67.9","91.8","76.0","91.4","66.2","90.3","74.5","-0.25","0.25","0.06","0.05","0.00","149.45","149.63","139.50","139.49","56.6","15.7"
