Time,Distance,GPS Latitude,GPS Longitude,Damper Velocity (Calc) FL,Damper Velocity (Calc) FR,Damper Velocity (Calc) RL,Damper Velocity (Calc) RR,Corr Dist,Corr Dist (Unstretched),Corr Speed,ABS Active,ABS Enabled,AID Allow Tire Blankets,AID Auto Blip,AID Auto Clutch,AID Auto Shift,AID Fuel Rate,AID Ideal Line,AID Mech Damage,AID Stability,AID Tire Wear Rate,Air Density,Air Temp,Ballast,Best Lap Delta,Best Lap Time,Brake Bias,Brake Pos,Brake Temp FL,Brake Temp FR,Brake Temp RL,Brake Temp RR,CG Accel Lateral,CG Accel Longitudinal,CG Accel Vertical,CG Height,Camber FL,Camber FR,Camber RL,Camber RR,Car Coord X,Car Coord Y,Car Coord Z,Car Damage Front,Car Damage Left,Car Damage Rear,Car Damage Right,Car Pos Norm,Caster FL,Caster FR,Chassis Pitch Angle,Chassis Pitch Rate,Chassis Roll Angle,Chassis Roll Rate,Chassis Velocity X,Chassis Velocity Y,Chassis Velocity Z,Chassis Yaw Rate,Clutch Pos,DRS Active,DRS Available,Drive Train Speed,ERS Heat Charging,ERS Is Charging,ERS Max Energy,ERS Power Level,ERS Recovery Level,Engine Brake Setting,Engine Limiter,Engine RPM,Flags,Fuel Level,Gear,Ground Speed,HR Sample Clock,In Pit,KERS Charge,KERS Deployed Energy,KERS Input,KERS Max Energy,LR Sample Clock,Lap Invalidated,Lap Time,Lap Time2,Last Lap Time,Last Sector Time,MR Sample Clock,Max Fuel,Max Power,Max RPM,Max Sus Travel FL,Max Sus Travel FR,Max Sus Travel RL,Max Sus Travel RR,Max Torque,Max Turbo Boost,Num Tires Off Track,Penalties Enabled,Position,Raw Data Sample Rate,Ride Height FL,Ride Height FR,Ride Height RL,Ride Height RR,Road Temp,Self Align Torque FL,Self Align Torque FR,Self Align Torque RL,Self Align Torque RR,Session Lap Count,Session Time Left,Steering Angle,Surface Grip,Suspension Travel FL,Suspension Travel FR,Suspension Travel RL,Suspension Travel RR,TC Active,TC Enabled,Throttle Pos,Tire Dirt Level FL,Tire Dirt Level FR,Tire Dirt Level RL,Tire Dirt Level RR,Tire Load FL,Tire Load FR,Tire Load RL,Tire Load RR,Tire Loaded Radius FL,Tire Loaded Radius FR,Tire Loaded Radius RL,Tire Loaded Radius RR,Tire Pressure FL,Tire Pressure FR,Tire Pressure RL,Tire Pressure RR,Tire Radius FL,Tire Radius FR,Tire Radius RL,Tire Radius RR,Tire Rubber Grip FL,Tire Rubber Grip FR,Tire Rubber Grip RL,Tire Rubber Grip RR,Tire Slip Angle FL,Tire Slip Angle FR,Tire Slip Angle RL,Tire Slip Angle RR,Tire Slip Ratio FL,Tire Slip Ratio FR,Tire Slip Ratio RL,Tire Slip Ratio RR,Tire Temp Core FL,Tire Temp Core FR,Tire Temp Core RL,Tire Temp Core RR,Tire Temp Inner FL,Tire Temp Inner FR,Tire Temp Inner RL,Tire Temp Inner RR,Tire Temp Middle FL,Tire Temp Middle FR,Tire Temp Middle RL,Tire Temp Middle RR,Tire Temp Outer FL,Tire Temp Outer FR,Tire Temp Outer RL,Tire Temp Outer RR,Toe In FL,Toe In FR,Toe In RL,Toe In RR,Turbo Boost,Wheel Angular Speed FL,Wheel Angular Speed FR,Wheel Angular Speed RL,Wheel Angular Speed RR,Wind Direction,Wind Speed,CG Distance,Lateral Velocity,Longitudinal Velocity,Lateral Acceleration,Longitudinal Acceleration
s,m,deg,deg,mm/s,mm/s,mm/s,mm/s,m,m,km/h,,,,,,,,,%,%,,kg/m3,C,kg,s,s,%,%,C,C,C,C,G,G,G,mm,deg,deg,deg,deg,m,m,m,,,,,,deg,deg,deg,deg/s,deg,deg/s,m/s,m/s,m/s,deg/s,%,,,rad/s,,,MJ,,,,,rpm,,l,,km/h,,,%,kJ,%,MJ,,,s,s,s,s,,l,hp,rpm,mm,mm,mm,mm,N.m,,,,,Hz,mm,mm,mm,mm,C,N.m,N.m,N.m,N.m,,s,deg,%,mm,mm,mm,mm,,,%,,,,,N,N,N,N,mm,mm,mm,mm,psi,psi,psi,psi,mm,mm,mm,mm,%,%,%,%,deg,deg,deg,deg,%,%,%,%,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,deg,deg,deg,deg,,rad/s,rad/s,rad/s,rad/s,deg,km/h,G,Km/h,Km/h,Km/h^2,Km/h^2
0.000,0.0,44.054632871006604,-78.681955427307429,-43.8,-11.3,-1.9,-97.0,3352.8,3353,115.5,0,1,1,0,1,1,0,0,0,100,1,1.186,26.0,0.0,0.003,74.678,66.0,0.0,26.0,26.0,26.0,26.0,-1.21,0.29,-0.21,387.7,-1.78,-1.55,-0.90,-2.68,-739.40,691.06,5.7,0.00,0.00,0.00,0.00,0.00,-7.49,-7.49,-0.41,-4.38,-0.95,7.51,32.04,-1.61,-0.36,43.36,100.0,0,0,97.09,0,0,0.0,0,0,0,0,6508,0,30.00,3,115.5,0,0,0.0,0.0,0.0,0.0,1,0,0.009,0.009,84.921,21.577,0,110.00,435.8,8750,0.0,0.0,110.0,110.0,433.0,0.00,0,0,1,333.3,81.1,81.1,69.7,69.7,34.0,13.54,1.70,-19.7,0.5,2,-162.190,151.9,100.0,23.2,7.8,47.2,20.2,0,1,100.0,0.00,0.00,0.00,0.00,4592,1035,5871,1215,313.1,322.6,340.7,352.1,24.41,22.40,26.93,25.99,325.0,325.0,355.0,355.0,99.99,99.82,100.00,99.98,-9.52,-10.18,-4.67,-4.77,-0.5,-0.3,5.5,9.7,78.5,66.0,88.0,82.2,102.8,76.1,100.7,90.2,98.4,73.2,99.3,87.8,96.0,72.0,98.4,86.3,8.48,-9.20,0.03,0.10,0.00,98.18,94.54,97.09,97.09,356.7,7.7,1.2618637010390623
0.050,1.6,44.054619561046842,-78.681949221988347,28.0,143.3,-165.6,-29.2,3354.4,3354,115.8,0,1,1,0,1,1,0,0,0,100,1,1.186,26.0,0.0,0.045,74.678,66.0,0.0,26.0,26.0,26.0,26.0,-1.51,0.26,0.09,385.5,-2.28,-1.70,-0.90,-2.57,-738.71,689.58,5.7,0.00,0.00,0.00,0.00,0.00,-7.49,-7.49,-0.51,-0.38,-0.79,-3.26,32.09,-2.19,-0.41,47.06,100.0,0,0,96.64,0,0,0.0,0,0,0,0,6478,0,30.00,3,115.8,1,0,0.0,0.0,0.0,0.0,1,0,0.060,0.060,84.921,21.577,1,110.00,435.8,8750,0.0,0.0,110.0,110.0,433.0,0.00,0,0,1,333.3,72.7,72.7,77.2,77.2,34.0,20.90,3.50,5.7,3.9,2,-162.240,149.5,100.0,24.6,15.0,38.9,18.7,1,1,100.0,0.00,0.00,0.00,0.00,6519,1669,5130,2644,308.3,320.0,342.7,348.2,24.42,22.40,26.93,25.99,325.0,325.0,355.0,355.0,100.00,99.82,100.00,99.98,-10.33,-10.93,-5.75,-5.82,-0.8,-0.5,6.4,9.9,78.6,66.0,88.1,82.2,102.9,76.2,100.8,90.2,98.6,73.2,99.4,87.8,96.2,72.0,98.4,86.3,8.46,-9.11,0.07,0.09,0.00,98.29,94.25,96.77,96.51,356.7,7.7,1.5348615572747923,104.42949614933478,47.17332409839798
0.100,3.2,44.054606790680033,-78.681943646194398,1.0,-102.8,-20.8,-30.5,3356.0,3356,116.0,0,1,1,0,1,1,0,0,0,100,1,1.186,26.0,0.0,0.096,74.678,66.0,0.0,26.0,26.0,26.0,26.0,-1.37,0.20,-0.13,388.4,-2.51,-2.44,0.46,-1.86,-738.09,688.16,5.7,0.00,0.00,0.00,0.00,0.00,-7.49,-7.49,-0.46,0.17,-0.95,-0.39,32.09,-2.83,-0.34,45.48,100.0,0,0,94.77,0,0,0.0,0,0,0,0,6353,0,30.00,3,116.0,0,0,0.0,0.0,0.0,0.0,1,0,0.109,0.109,84.921,21.577,0,110.00,435.8,8750,0.0,0.0,110.0,110.0,433.0,0.00,0,0,1,333.3,79.1,79.1,79.1,79.1,34.0,17.52,0.00,13.5,5.1,2,-162.290,131.1,100.0,24.7,9.9,37.8,17.2,0,1,100.0,0.00,0.00,0.00,0.00,5683,0,6569,2703,310.5,325.0,339.5,348.6,24.42,22.40,26.94,25.99,325.0,325.0,355.0,355.0,100.00,99.82,100.00,99.98,-10.61,0.00,-6.86,-6.93,-0.7,0.0,2.9,8.8,78.6,66.0,88.1,82.2,103.1,76.2,100.9,90.2,98.7,73.2,99.4,87.8,96.3,72.0,98.5,86.3,7.55,-8.12,0.07,0.09,0.00,98.39,94.24,94.41,95.12,356.7,7.7,1.3906113763377603,105.86990300376193,45.01271384520845,57.616273608061874,-32.40915351333108
0.150,4.8,44.054593120991626,-78.681937980468277,-0.7,-21.8,99.3,73.4,3357.7,3358,116.2,0,1,1,0,1,1,0,0,0,100,1,1.186,26.0,0.0,0.096,74.678,66.0,0.0,26.0,26.0,26.0,26.0,-1.41,0.29,-0.00,386.7,-1.63,-2.89,-0.58,-1.85,-737.46,686.64,5.7,0.00,0.00,0.00,0.00,0.00,-7.49,-7.49,-0.50,-2.93,-0.91,2.61,32.11,-3.27,-0.40,39.87,100.0,0,0,97.38,0,0,0.0,0,0,0,0,6528,0,30.00,3,116.2,1,0,0.0,0.0,0.0,0.0,1,0,0.159,0.159,84.921,21.577,1,110.00,435.8,8750,0.0,0.0,110.0,110.0,433.0,0.00,0,0,1,333.3,78.7,78.7,73.0,73.0,34.0,15.11,2.08,18.2,3.1,2,-162.340,96.6,100.0,24.6,8.8,42.8,20.9,1,1,100.0,0.00,0.00,0.00,0.00,5024,1208,6122,1900,311.9,321.8,339.9,350.3,24.43,22.40,26.94,25.99,325.0,325.0,355.0,355.0,100.00,99.82,100.00,99.98,-9.96,-10.32,-7.44,-7.52,-0.8,-1.0,6.9,10.8,78.7,66.0,88.1,82.2,103.3,76.2,101.0,90.3,98.9,73.2,99.6,87.9,96.5,72.0,98.7,86.3,5.78,-6.12,0.07,0.09,0.00,98.31,94.42,96.82,97.93,356.7,7.7,1.4395138068111746,110.19112351014097,43.93240874706487,18.005085538083136,-46.81322262662633
0.200,6.4,44.054579271438897,-78.681932674470801,8.2,33.4,-53.3,-63.0,3359.3,3359,116.3,0,1,1,0,1,1,0,0,0,100,1,1.186,26.0,0.0,0.147,74.678,66.0,0.0,26.0,26.0,26.0,26.0,-1.45,0.16,-0.02,387.6,-2.19,-2.80,-0.52,-2.45,-736.87,685.10,5.7,0.00,0.00,0.00,0.00,0.00,-7.49,-7.49,-0.58,-1.11,-0.85,2.94,32.07,-3.72,-0.42,40.96,100.0,0,0,96.19,0,0,0.0,0,0,0,0,6448,0,30.00,3,116.3,0,0,0.0,0.0,0.0,0.0,0,0,0.210,0.210,84.921,21.577,0,110.00,435.8,8750,0.0,0.0,110.0,110.0,433.0,0.00,0,0,1,333.3,77.0,77.0,74.4,74.4,34.0,17.65,1.49,22.1,1.0,2,-162.390,58.3,100.0,25.1,10.4,40.1,17.7,1,1,100.0,0.00,0.00,0.00,0.00,5586,865,6775,757,310.3,322.3,338.8,352.9,24.44,22.40,26.94,25.99,325.0,325.0,355.0,355.0,100.00,99.82,100.00,99.98,-8.46,-8.70,-8.22,-8.40,-0.7,-0.8,4.1,10.5,78.8,66.0,88.2,82.2,103.5,76.2,101.2,90.3,99.1,73.2,99.7,87.9,96.6,72.0,98.8,86.3,3.62,-3.75,0.06,0.09,0.00,98.95,94.98,94.72,97.67,356.7,7.7,1.4589379698945393,107.67041155757025,40.33139158254582,-18.00508525357131,-57.61627417708581
0.250,8.1,44.054566231275608,-78.681927908066299,-60.8,-38.7,-40.3,43.8,3360.9,3361,116.3,0,1,1,0,1,1,0,0,0,100,1,1.186,26.0,0.0,0.198,74.678,66.0,0.0,26.0,26.0,26.0,26.0,-1.14,0.27,-0.27,391.2,-1.44,-2.80,-1.20,-2.29,-736.34,683.65,5.7,0.00,0.00,0.00,0.00,0.01,-7.49,-7.49,-0.64,-3.11,-0.70,2.49,32.05,-4.13,-0.38,34.15,100.0,0,0,96.59,0,0,0.0,0,0,0,0,6475,0,30.00,3,116.3,1,0,0.0,0.0,0.0,0.0,0,0,0.259,0.259,84.921,21.577,1,110.00,435.8,8750,0.0,0.0,110.0,110.0,433.0,0.00,0,0,1,333.3,83.7,83.7,81.9,81.9,34.0,11.64,0.00,11.3,6.2,2,-162.440,26.4,100.0,22.0,8.5,38.1,19.9,0,1,100.0,0.00,0.00,0.00,0.00,4050,0,4005,2967,314.5,325.0,345.1,347.7,24.45,22.41,26.95,25.99,325.0,325.0,355.0,355.0,100.00,99.82,100.00,99.98,-7.58,0.00,-8.71,-8.80,-0.4,0.0,5.1,8.6,78.8,66.0,88.2,82.2,103.6,76.1,101.3,90.3,99.2,73.1,99.8,87.9,96.7,71.9,98.9,86.4,1.76,-1.80,0.07,0.08,0.00,99.02,95.08,96.59,96.59,356.7,7.7,1.2022478945708326,108.39061498478384,38.17078132935629,54.01525661425012,-32.40915351333115
0.300,9.7,44.054552201858556,-78.681923141661784,14.9,21.4,-38.9,-19.9,3362.5,3363,116.4,0,1,1,0,1,1,0,0,0,100,1,1.186,26.0,0.0,0.249,74.678,66.0,0.0,26.0,26.0,26.0,26.0,-1.63,0.20,0.06,387.7,-2.21,-3.59,-1.15,-1.56,-735.81,682.09,5.7,0.00,0.00,0.00,0.00,0.01,-7.49,-7.49,-0.83,-3.72,-0.77,-3.83,32.05,-4.36,-0.41,30.36,100.0,0,0,97.55,0,0,0.0,0,0,0,0,6540,0,30.00,3,116.4,0,0,0.0,0.0,0.0,0.0,0,0,0.309,0.309,84.921,21.577,0,110.00,435.8,8750,0.0,0.0,110.0,110.0,433.0,0.00,0,0,1,333.3,77.0,77.0,78.5,78.5,34.0,17.41,0.95,19.0,3.6,2,-162.490,5.0,100.0,22.8,9.6,36.2,18.9,0,1,100.0,0.00,0.00,0.00,0.00,6370,1043,6017,1981,308.5,321.5,339.7,350.2,24.46,22.41,26.95,25.99,325.0,325.0,355.0,355.0,100.00,99.82,100.00,99.98,-6.82,-6.92,-8.94,-8.98,-0.6,-0.8,6.2,10.0,78.8,66.1,88.2,82.2,103.6,76.1,101.4,90.4,99.2,73.1,100.0,88.0,96.8,71.9,99.0,86.4,0.42,-0.43,0.06,0.09,0.00,99.15,96.10,98.26,96.85,356.7,7.7,1.6433198106272557,113.07193721899526,37.090476231212705,21.606102531895175,-46.8132220576026
0.350,11.3,44.054537992577181,-78.681918645053756,86.4,60.1,19.8,-79.2,3364.1,3364,116.3,0,1,1,0,1,1,0,0,0,100,1,1.186,26.0,0.0,0.297,74.678,66.0,0.0,26.0,26.0,26.0,26.0,-1.64,0.13,0.03,386.0,-1.69,-3.32,-0.65,-2.41,-735.31,680.51,5.7,0.00,0.00,0.00,0.00,0.01,-7.49,-7.49,-0.88,0.50,-0.93,-3.08,32.00,-4.52,-0.45,33.18,100.0,0,0,97.16,0,0,0.0,0,0,0,0,6513,0,30.00,3,116.3,1,0,0.0,0.0,0.0,0.0,0,0,0.360,0.360,84.921,21.577,1,110.00,435.8,8750,0.0,0.0,110.0,110.0,433.0,0.00,0,0,1,333.3,70.7,70.7,82.1,82.1,34.0,6.40,-0.73,15.2,3.3,2,-162.540,-6.2,100.0,27.1,12.6,37.2,15.0,0,1,100.0,0.00,0.00,0.00,0.00,8336,1420,5205,1812,304.1,320.9,342.4,350.6,24.46,22.41,26.96,26.00,325.0,325.0,355.0,355.0,100.00,99.82,100.00,99.98,-6.26,-6.33,-9.32,-9.35,-0.6,-0.4,6.4,8.6,78.9,66.1,88.2,82.2,103.7,76.1,101.6,90.4,99.3,73.1,100.1,88.0,96.9,71.9,99.2,86.4,-0.29,0.28,0.07,0.10,0.00,99.37,96.52,95.79,98.53,356.7,7.7,1.6454178800535746,110.55122523797336,33.48945912359603,-21.606102816407002,-64.8183081647096
0.400,12.9,44.054524592685254,-78.681914777970846,148.1,-3.5,90.5,74.4,3365.7,3366,116.4,0,1,1,0,1,1,0,0,0,100,1,1.186,26.0,0.0,0.348,74.678,66.0,0.0,26.0,26.0,26.0,26.0,-1.78,0.25,0.27,381.2,-0.91,-3.20,-0.38,-3.20,-734.88,679.02,5.7,0.00,0.00,0.00,0.00,0.01,-7.49,-7.49,-0.72,3.80,-1.09,-0.83,31.99,-4.60,-0.47,33.16,100.0,0,0,96.94,0,0,0.0,0,0,0,0,6499,0,30.00,3,116.4,0,0,0.0,0.0,0.0,0.0,0,0,0.409,0.409,84.921,21.577,0,110.00,435.8,8750,0.0,0.0,110.0,110.0,433.0,0.00,0,0,1,333.3,68.3,68.3,76.0,76.0,34.0,-11.71,-1.43,26.1,3.7,2,-162.590,-15.9,100.0,34.5,12.4,41.7,18.7,1,1,100.0,0.00,0.00,0.00,0.00,7676,973,7722,2154,304.8,322.4,336.5,349.9,24.47,22.41,26.96,26.00,325.0,325.0,355.0,355.0,100.00,99.82,100.00,99.98,-5.85,-5.92,-9.51,-9.55,-0.4,-0.4,4.1,10.3,79.0,66.1,88.3,82.2,103.9,76.1,101.8,90.4,99.5,73.1,100.3,88.0,97.0,71.9,99.4,86.4,-0.80,0.82,0.06,0.10,0.00,99.64,96.68,96.71,97.18,356.7,7.7,1.8176358271116908,110.91132693735456,30.608645414741744,46.813222342114216,-46.813222626626185
