Time,Distance,GPS Latitude,GPS Longitude,Damper Velocity (Calc) FL,Damper Velocity (Calc) FR,Damper Velocity (Calc) RL,Damper Velocity (Calc) RR,Corr Dist,Corr Dist (Unstretched),Corr Speed,ABS Active,ABS Enabled,AID Allow Tire Blankets,AID Auto Blip,AID Auto Clutch,AID Auto Shift,AID Fuel Rate,AID Ideal Line,AID Mech Damage,AID Stability,AID Tire Wear Rate,Air Density,Air Temp,Ballast,Best Lap Delta,Best Lap Time,Brake Bias,Brake Pos,Brake Temp FL,Brake Temp FR,Brake Temp RL,Brake Temp RR,CG Accel Lateral,CG Accel Longitudinal,CG Accel Vertical,CG Height,Camber FL,Camber FR,Camber RL,Camber RR,Car Coord X,Car Coord Y,Car Coord Z,Car Damage Front,Car Damage Left,Car Damage Rear,Car Damage Right,Car Pos Norm,Caster FL,Caster FR,Chassis Pitch Angle,Chassis Pitch Rate,Chassis Roll Angle,Chassis Roll Rate,Chassis Velocity X,Chassis Velocity Y,Chassis Velocity Z,Chassis Yaw Rate,Clutch Pos,DRS Active,DRS Available,Drive Train Speed,ERS Heat Charging,ERS Is Charging,ERS Max Energy,ERS Power Level,ERS Recovery Level,Engine Brake Setting,Engine Limiter,Engine RPM,Flags,Fuel Level,Gear,Ground Speed,HR Sample Clock,In Pit,KERS Charge,KERS Deployed Energy,KERS Input,KERS Max Energy,LR Sample Clock,Lap Invalidated,Lap Time,Lap Time2,Last Lap Time,Last Sector Time,MR Sample Clock,Max Fuel,Max Power,Max RPM,Max Sus Travel FL,Max Sus Travel FR,Max Sus Travel RL,Max Sus Travel RR,Max Torque,Max Turbo Boost,Num Tires Off Track,Penalties Enabled,Position,Raw Data Sample Rate,Ride Height FL,Ride Height FR,Ride Height RL,Ride Height RR,Road Temp,Self Align Torque FL,Self Align Torque FR,Self Align Torque RL,Self Align Torque RR,Session Lap Count,Session Time Left,Steering Angle,Surface Grip,Suspension Travel FL,Suspension Travel FR,Suspension Travel RL,Suspension Travel RR,TC Active,TC Enabled,Throttle Pos,Tire Dirt Level FL,Tire Dirt Level FR,Tire Dirt Level RL,Tire Dirt Level RR,Tire Load FL,Tire Load FR,Tire Load RL,Tire Load RR,Tire Loaded Radius FL,Tire Loaded Radius FR,Tire Loaded Radius RL,Tire Loaded Radius RR,Tire Pressure FL,Tire Pressure FR,Tire Pressure RL,Tire Pressure RR,Tire Radius FL,Tire Radius FR,Tire Radius RL,Tire Radius RR,Tire Rubber Grip FL,Tire Rubber Grip FR,Tire Rubber Grip RL,Tire Rubber Grip RR,Tire Slip Angle FL,Tire Slip Angle FR,Tire Slip Angle RL,Tire Slip Angle RR,Tire Slip Ratio FL,Tire Slip Ratio FR,Tire Slip Ratio RL,Tire Slip Ratio RR,Tire Temp Core FL,Tire Temp Core FR,Tire Temp Core RL,Tire Temp Core RR,Tire Temp Inner FL,Tire Temp Inner FR,Tire Temp Inner RL,Tire Temp Inner RR,Tire Temp Middle FL,Tire Temp Middle FR,Tire Temp Middle RL,Tire Temp Middle RR,Tire Temp Outer FL,Tire Temp Outer FR,Tire Temp Outer RL,Tire Temp Outer RR,Toe In FL,Toe In FR,Toe In RL,Toe In RR,Turbo Boost,Wheel Angular Speed FL,Wheel Angular Speed FR,Wheel Angular Speed RL,Wheel Angular Speed RR,Wind Direction,Wind Speed,CG Distance,Lateral Velocity,Longitudinal Velocity,Lateral Acceleration,Longitudinal Acceleration
s,m,deg,deg,mm/s,mm/s,mm/s,mm/s,m,m,km/h,,,,,,,,,%,%,,kg/m3,C,kg,s,s,%,%,C,C,C,C,G,G,G,mm,deg,deg,deg,deg,m,m,m,,,,,,deg,deg,deg,deg/s,deg,deg/s,m/s,m/s,m/s,deg/s,%,,,rad/s,,,MJ,,,,,rpm,,l,,km/h,,,%,kJ,%,MJ,,,s,s,s,s,,l,hp,rpm,mm,mm,mm,mm,N.m,,,,,Hz,mm,mm,mm,mm,C,N.m,N.m,N.m,N.m,,s,deg,%,mm,mm,mm,mm,,,%,,,,,N,N,N,N,mm,mm,mm,mm,psi,psi,psi,psi,mm,mm,mm,mm,%,%,%,%,deg,deg,deg,deg,%,%,%,%,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,deg,deg,deg,deg,,rad/s,rad/s,rad/s,rad/s,deg,km/h,G,Km/h,Km/h,Km/h^2,Km/h^2
0.000,0.0,44.054625316705120,-78.681965139980775,-52.7,-56.5,96.0,6.2,5029.5,5030,170.5,0,1,1,0,1,1,0,0,0,100,1,1.186,26.0,0.0,0.000,47.643,66.0,0.0,26.0,26.0,26.0,26.0,0.12,0.33,-0.13,378.5,-2.80,-1.67,-1.01,-1.13,-740.48,690.22,5.7,0.00,0.00,0.00,0.00,0.00,-7.49,-7.49,-0.24,-1.57,0.24,-5.64,47.37,0.14,-0.36,-0.68,100.0,0,0,135.57,0,0,0.0,0,0,0,0,7231,0,30.00,4,170.5,0,0,0.0,0.0,0.0,0.0,1,0,0.018,0.018,47.643,17.721,0,110.00,435.8,8750,0.0,0.0,110.0,110.0,433.0,0.00,0,0,1,333.3,74.0,74.0,60.1,60.1,34.0,-8.67,19.35,2.5,29.2,3,-150.290,0.1,100.0,17.6,23.3,41.6,42.3,0,1,100.0,0.00,0.00,0.00,0.00,3435,3843,3768,5166,316.9,314.9,344.4,341.9,26.37,23.35,26.67,25.15,325.0,325.0,355.0,355.0,100.00,99.85,100.00,99.93,0.13,0.19,0.21,0.29,-0.1,-0.1,1.9,1.8,90.8,72.0,86.4,76.9,97.3,72.8,90.7,78.9,93.8,69.6,89.0,76.6,90.2,67.7,87.7,75.3,0.01,-0.02,0.06,0.03,0.00,145.16,145.16,135.57,135.57,88.0,25.5,0.37443290453698114
0.050,2.4,44.054604272579539,-78.681959564186826,49.1,-55.9,-83.5,-58.9,5031.9,5032,171.1,0,1,1,0,1,1,0,0,0,100,1,1.186,26.0,0.0,0.000,47.643,66.0,0.0,26.0,26.0,26.0,26.0,0.07,0.33,-0.28,383.8,-3.01,-2.60,-1.81,-1.13,-739.86,687.88,5.7,0.00,0.00,0.00,0.00,0.00,-7.49,-7.49,-0.26,-0.36,-0.02,-3.87,47.54,0.10,-0.34,0.11,100.0,0,0,136.20,0,0,0.0,0,0,0,0,7265,0,30.00,4,171.1,1,0,0.0,0.0,0.0,0.0,1,0,0.069,0.069,47.643,17.721,1,110.00,435.8,8750,0.0,0.0,110.0,110.0,433.0,0.00,0,0,1,166.7,79.7,79.7,68.1,68.1,34.0,-3.54,5.21,-9.9,18.0,3,-150.340,0.4,100.0,20.0,20.5,37.5,39.4,0,1,100.0,0.00,0.00,0.00,0.00,1496,1305,4509,4195,321.3,321.6,344.5,344.2,26.37,23.35,26.67,25.15,325.0,325.0,355.0,355.0,100.00,99.85,100.00,99.93,0.13,0.10,0.09,0.20,-0.0,-0.0,1.9,2.0,90.8,72.0,86.4,76.9,97.3,72.7,90.6,78.9,93.7,69.6,89.0,76.6,90.2,67.7,87.7,75.2,0.03,-0.03,0.06,0.06,0.00,145.65,145.61,136.20,136.20,88.0,25.5,0.4384062043356595,164.20638018129347,43.21220529140011
0.100,4.8,44.054584307639885,-78.681954348121508,-51.1,-111.4,59.6,-16.3,5034.3,5034,171.7,0,1,1,0,1,1,0,0,0,100,1,1.186,26.0,0.0,0.003,47.643,66.0,0.0,26.0,26.0,26.0,26.0,-0.03,0.34,-0.21,382.6,-2.10,-2.33,-1.81,-2.28,-739.28,685.66,5.7,0.00,0.00,0.00,0.00,0.00,-7.49,-7.49,-0.43,-5.69,-0.08,2.98,47.70,0.06,-0.41,0.83,100.0,0,0,136.37,0,0,0.0,0,0,0,0,7274,0,30.00,4,171.7,0,0,0.0,0.0,0.0,0.0,1,0,0.117,0.117,47.643,17.721,0,110.00,435.8,8750,0.0,0.0,110.0,110.0,433.0,0.00,0,0,1,333.3,78.9,78.9,69.6,69.6,34.0,-18.78,7.65,-15.0,22.4,3,-150.390,0.9,100.0,17.5,14.9,40.5,38.5,0,1,100.0,0.00,0.00,0.00,0.00,4728,2199,4263,4123,313.8,319.6,344.1,343.6,26.38,23.35,26.67,25.15,325.0,325.0,355.0,355.0,100.00,99.85,100.00,99.93,-0.04,0.04,-0.01,0.10,-0.1,-0.0,1.8,1.8,90.8,72.0,86.4,76.9,97.2,72.7,90.6,78.9,93.6,69.5,88.9,76.5,90.1,67.6,87.6,75.2,0.06,-0.07,0.06,0.04,0.00,146.17,145.95,136.37,136.37,88.0,25.5,0.4007492981902776,164.5664818806747,43.212205348302476,7.202033987623793,0.0
0.150,7.2,44.054563173582146,-78.681948772327544,-8.3,285.5,-195.2,-126.5,5036.7,5037,172.3,0,1,1,0,1,1,0,0,0,100,1,1.186,26.0,0.0,0.003,47.643,66.0,0.0,26.0,26.0,26.0,26.0,0.02,0.36,-0.25,382.9,-2.72,-2.46,-1.25,-1.53,-738.66,683.31,5.7,0.00,0.00,0.00,0.00,0.01,-7.49,-7.49,-0.54,0.75,0.01,-6.23,47.86,0.03,-0.42,0.16,100.0,0,0,137.30,0,0,0.0,0,0,0,0,7324,0,30.00,4,172.3,1,0,0.0,0.0,0.0,0.0,1,0,0.168,0.168,47.643,17.721,1,110.00,435.8,8750,0.0,0.0,110.0,110.0,433.0,0.00,0,0,1,333.3,71.5,71.5,63.8,63.8,34.0,-10.42,20.33,-13.2,12.7,3,-150.440,1.1,100.0,17.0,29.2,30.7,32.2,0,1,100.0,0.00,0.00,0.00,0.00,2727,4413,5252,3259,318.7,313.5,342.7,346.7,26.38,23.35,26.67,25.15,325.0,325.0,355.0,355.0,100.00,99.85,100.00,99.93,-0.00,0.05,-0.03,0.14,-0.1,0.1,2.2,2.1,90.8,72.0,86.5,76.9,97.1,72.7,90.5,78.9,93.6,69.5,88.9,76.5,90.0,67.6,87.6,75.2,0.05,-0.05,0.08,0.07,0.00,146.63,146.61,137.30,137.30,88.0,25.5,0.4387482193696061,164.92658358005585,43.21220529140011,10.803051265947659,3.6010164247882415
0.200,9.6,44.054543118710335,-78.681943556262240,42.6,-112.9,131.3,192.7,5039.1,5039,172.9,0,1,1,0,1,1,0,0,0,100,1,1.186,26.0,0.0,0.006,47.643,66.0,0.0,26.0,26.0,26.0,26.0,0.06,0.32,0.08,377.3,-2.24,-2.18,-1.66,-1.56,-738.08,681.08,5.7,0.00,0.00,0.00,0.00,0.01,-7.49,-7.49,-0.50,-0.04,-0.23,-6.98,48.03,-0.01,-0.38,0.63,100.0,0,0,136.85,0,0,0.0,0,0,0,0,7300,0,30.00,4,172.9,0,0,0.0,0.0,0.0,0.0,1,0,0.216,0.216,47.643,17.721,0,110.00,435.8,8750,0.0,0.0,110.0,110.0,433.0,0.00,0,0,1,333.3,71.0,71.0,67.5,67.5,34.0,-18.45,15.37,-10.9,40.4,3,-150.490,1.6,100.0,19.2,23.5,37.3,41.9,0,1,100.0,0.00,0.00,0.00,0.00,4184,4673,3314,6992,315.1,313.3,347.2,336.0,26.38,23.35,26.67,25.15,325.0,325.0,355.0,355.0,100.00,99.85,100.00,99.93,-0.07,-0.01,-0.02,0.15,-0.1,-0.1,1.3,1.6,90.9,72.0,86.5,76.9,97.0,72.6,90.5,78.9,93.5,69.5,88.9,76.5,89.9,67.6,87.6,75.2,0.09,-0.10,0.06,0.04,0.00,147.37,147.21,136.85,136.85,88.0,25.5,0.3352610922848042,165.64678700726947,43.5723069907813,61.21729088638631,18.005086107107076
0.250,12.0,44.054521804788273,-78.681937890536119,50.6,-42.2,57.0,-95.6,5041.5,5042,173.5,0,1,1,0,1,1,0,0,0,100,1,1.186,26.0,0.0,0.006,47.643,66.0,0.0,26.0,26.0,26.0,26.0,-0.05,0.30,-0.09,379.1,-1.92,-2.98,-1.56,-1.66,-737.45,678.71,5.7,0.00,0.00,0.00,0.00,0.01,-7.49,-7.49,-0.46,0.80,-0.71,-5.27,48.19,-0.05,-0.35,1.63,100.0,0,0,137.87,0,0,0.0,0,0,0,0,7354,0,30.00,4,173.5,1,0,0.0,0.0,0.0,0.0,1,0,0.267,0.267,47.643,17.721,1,110.00,435.8,8750,0.0,0.0,110.0,110.0,433.0,0.00,0,0,1,333.3,72.3,72.3,63.6,63.6,34.0,-23.10,9.92,-28.0,11.4,3,-150.540,2.3,100.0,21.7,21.4,40.1,37.1,0,1,100.0,0.00,0.00,0.00,0.00,4774,2973,6213,3731,313.9,317.2,340.9,345.9,26.38,23.35,26.67,25.15,325.0,325.0,355.0,355.0,100.00,99.85,100.00,99.93,-0.13,-0.08,-0.12,0.02,-0.1,-0.1,1.8,1.8,90.9,72.0,86.5,76.9,96.9,72.6,90.5,78.8,93.4,69.4,88.8,76.5,89.9,67.5,87.5,75.2,0.13,-0.13,0.05,0.06,0.00,147.85,147.65,137.87,137.87,88.0,25.5,0.3171750305430741,171.04831266869448,45.01271390211082,64.81830788019778,10.803051550459486
0.300,14.4,44.054500400934053,-78.681932314742156,105.4,-20.3,21.9,36.4,5043.9,5044,174.1,0,1,1,0,1,1,0,0,0,100,1,1.186,26.0,0.0,0.009,47.643,66.0,0.0,26.0,26.0,26.0,26.0,-0.10,0.29,-0.18,379.1,-2.05,-2.25,-0.79,-2.02,-736.83,676.33,5.7,0.00,0.00,0.00,0.00,0.01,-7.49,-7.49,-0.42,1.26,-0.66,4.80,48.36,-0.08,-0.37,2.80,100.0,0,0,138.51,0,0,0.0,0,0,0,0,7388,0,30.00,4,174.1,0,0,0.0,0.0,0.0,0.0,0,0,0.318,0.318,47.643,17.721,0,110.00,435.8,8750,0.0,0.0,110.0,110.0,433.0,0.00,0,0,1,333.3,72.3,72.3,69.8,69.8,34.0,-23.03,0.62,-19.7,8.7,3,-150.590,2.8,100.0,27.0,20.4,41.2,38.9,0,1,100.0,0.00,0.00,0.00,0.00,3770,1581,4523,4441,315.7,320.2,344.5,343.9,26.38,23.35,26.68,25.15,325.0,325.0,355.0,355.0,100.00,99.85,100.00,99.93,-0.23,-0.23,-0.25,-0.14,-0.0,-0.0,1.7,1.9,90.9,71.9,86.5,76.9,96.8,72.5,90.4,78.8,93.3,69.4,88.8,76.5,89.8,67.5,87.5,75.1,0.17,-0.18,0.06,0.06,0.00,148.36,148.13,138.51,138.51,88.0,25.5,0.3556683848755748,172.12861779528924,44.65261214582725,-32.40915408235509,-18.005086107107076
0.350,16.8,44.054478817215511,-78.681926738948206,-56.2,19.0,37.1,59.2,5046.4,5046,174.7,0,1,1,0,1,1,0,0,0,100,1,1.186,26.0,0.0,0.012,47.643,66.0,0.0,26.0,26.0,26.0,26.0,-0.16,0.29,0.21,375.7,-2.96,-2.82,-1.28,-1.04,-736.21,673.93,5.7,0.00,0.00,0.00,0.00,0.01,-7.49,-7.49,-0.39,-0.47,-0.31,5.44,48.53,-0.09,-0.39,2.40,100.0,0,0,138.44,0,0,0.0,0,0,0,0,7384,0,30.00,4,174.7,1,0,0.0,0.0,0.0,0.0,0,0,0.369,0.369,47.643,17.721,1,110.00,435.8,8750,0.0,0.0,110.0,110.0,433.0,0.00,0,0,1,166.7,70.0,70.0,60.2,60.2,34.0,-22.86,12.27,-28.3,-2.0,3,-150.640,2.7,100.0,24.2,21.3,43.1,41.9,0,1,100.0,0.00,0.00,0.00,0.00,3185,5251,4515,5130,317.2,311.4,343.6,341.3,26.38,23.35,26.68,25.15,325.0,325.0,355.0,355.0,100.00,99.85,100.00,99.93,-0.24,-0.17,-0.29,-0.19,-0.0,-0.0,1.4,1.5,90.9,71.9,86.5,77.0,96.8,72.5,90.4,78.8,93.3,69.4,88.8,76.5,89.7,67.4,87.5,75.1,0.17,-0.16,0.05,0.04,0.00,148.80,148.74,138.44,138.44,88.0,25.5,0.39217343102255153,167.80739726045897,43.21220529140011,-43.212205348302746,-14.404068544271382
0.400,19.2,44.054458492547219,-78.681921522882888,-36.2,7.9,-20.7,-57.6,5048.8,5049,175.2,0,1,1,0,1,1,0,0,0,100,1,1.186,26.0,0.0,0.012,47.643,66.0,0.0,26.0,26.0,26.0,26.0,-0.13,0.32,-0.07,378.9,-2.53,-3.15,-0.96,-1.64,-735.63,671.67,5.7,0.00,0.00,0.00,0.00,0.01,-7.49,-7.49,-0.35,0.11,-0.22,0.88,48.69,-0.09,-0.35,1.77,100.0,0,0,138.91,0,0,0.0,0,0,0,0,7410,0,30.00,4,175.2,0,0,0.0,0.0,0.0,0.0,0,0,0.417,0.417,47.643,17.721,0,110.00,435.8,8750,0.0,0.0,110.0,110.0,433.0,0.00,0,0,1,333.3,74.8,74.8,63.4,63.4,34.0,-17.19,4.81,-20.6,12.5,3,-150.690,2.0,100.0,22.4,21.7,42.0,39.0,0,1,100.0,0.00,0.00,0.00,0.00,2844,2479,4382,5946,318.1,318.6,343.7,340.3,26.38,23.35,26.68,25.15,325.0,325.0,355.0,355.0,100.00,99.85,100.00,99.93,-0.21,-0.20,-0.22,-0.09,-0.0,-0.0,1.4,1.6,90.9,71.9,86.5,77.0,96.7,72.5,90.4,78.8,93.2,69.3,88.7,76.4,89.7,67.4,87.4,75.1,0.12,-0.13,0.05,0.06,0.00,149.31,149.07,138.91,138.91,88.0,25.5,0.3524202037341219,167.80739726045897,43.21220529140011,7.20203427213562,3.6010169938118963
