,Time,Distance,GPS Latitude,GPS Longitude,Damper Velocity (Calc) FL,Damper Velocity (Calc) FR,Damper Velocity (Calc) RL,Damper Velocity (Calc) RR,Corr Dist,Corr Dist (Unstretched),Corr Speed,ABS Active,ABS Enabled,AID Allow Tire Blankets,AID Auto Blip,AID Auto Clutch,AID Auto Shift,AID Fuel Rate,AID Ideal Line,AID Mech Damage,AID Stability,AID Tire Wear Rate,Air Density,Air Temp,Ballast,Best Lap Delta,Best Lap Time,Brake Bias,Brake Pos,Brake Temp FL,Brake Temp FR,Brake Temp RL,Brake Temp RR,CG Accel Lateral,CG Accel Longitudinal,CG Accel Vertical,CG Height,Camber FL,Camber FR,Camber RL,Camber RR,Car Coord X,Car Coord Y,Car Coord Z,Car Damage Front,Car Damage Left,Car Damage Rear,Car Damage Right,Car Pos Norm,Caster FL,Caster FR,Chassis Pitch Angle,Chassis Pitch Rate,Chassis Roll Angle,Chassis Roll Rate,Chassis Velocity X,Chassis Velocity Y,Chassis Velocity Z,Chassis Yaw Rate,Clutch Pos,DRS Active,DRS Available,Drive Train Speed,ERS Heat Charging,ERS Is Charging,ERS Max Energy,ERS Power Level,ERS Recovery Level,Engine Brake Setting,Engine Limiter,Engine RPM,Flags,Fuel Level,Gear,Ground Speed,HR Sample Clock,In Pit,KERS Charge,KERS Deployed Energy,KERS Input,KERS Max Energy,LR Sample Clock,Lap Invalidated,Lap Time,Lap Time2,Last Lap Time,Last Sector Time,MR Sample Clock,Max Fuel,Max Power,Max RPM,Max Sus Travel FL,Max Sus Travel FR,Max Sus Travel RL,Max Sus Travel RR,Max Torque,Max Turbo Boost,Num Tires Off Track,Penalties Enabled,Position,Raw Data Sample Rate,Ride Height FL,Ride Height FR,Ride Height RL,Ride Height RR,Road Temp,Self Align Torque FL,Self Align Torque FR,Self Align Torque RL,Self Align Torque RR,Session Lap Count,Session Time Left,Steering Angle,Surface Grip,Suspension Travel FL,Suspension Travel FR,Suspension Travel RL,Suspension Travel RR,TC Active,TC Enabled,Throttle Pos,Tire Dirt Level FL,Tire Dirt Level FR,Tire Dirt Level RL,Tire Dirt Level RR,Tire Load FL,Tire Load FR,Tire Load RL,Tire Load RR,Tire Loaded Radius FL,Tire Loaded Radius FR,Tire Loaded Radius RL,Tire Loaded Radius RR,Tire Pressure FL,Tire Pressure FR,Tire Pressure RL,Tire Pressure RR,Tire Radius FL,Tire Radius FR,Tire Radius RL,Tire Radius RR,Tire Rubber Grip FL,Tire Rubber Grip FR,Tire Rubber Grip RL,Tire Rubber Grip RR,Tire Slip Angle FL,Tire Slip Angle FR,Tire Slip Angle RL,Tire Slip Angle RR,Tire Slip Ratio FL,Tire Slip Ratio FR,Tire Slip Ratio RL,Tire Slip Ratio RR,Tire Temp Core FL,Tire Temp Core FR,Tire Temp Core RL,Tire Temp Core RR,Tire Temp Inner FL,Tire Temp Inner FR,Tire Temp Inner RL,Tire Temp Inner RR,Tire Temp Middle FL,Tire Temp Middle FR,Tire Temp Middle RL,Tire Temp Middle RR,Tire Temp Outer FL,Tire Temp Outer FR,Tire Temp Outer RL,Tire Temp Outer RR,Toe In FL,Toe In FR,Toe In RL,Toe In RR,Turbo Boost,Wheel Angular Speed FL,Wheel Angular Speed FR,Wheel Angular Speed RL,Wheel Angular Speed RR,Wind Direction,Wind Speed,CG Distance,Lateral Velocity,Longitudinal Velocity,Lateral Acceleration,Longitudinal Acceleration,level,curve_number
1249,62.4,1050.4,44.05314062666591,-78.68242658189678,36.4,22.6,-11.7,-29.6,2621.6,2622.0,159.1,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,100.0,1.0,1.186,26.0,0.0,8.61,74.678,66.0,0.0,26.0,26.0,26.0,26.0,0.32,-0.1,0.0,378.8,-2.9,-2.2,-1.94,-1.36,-791.79,525.13,5.4,0.0,0.0,0.0,0.0,0.58,-7.49,-7.49,-0.92,-1.59,0.37,-2.56,44.19,0.31,-0.43,-2.49,100.0,0.0,0.0,124.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7848.0,0.0,30.0,0.0,159.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.43,62.43,74.679,35.607,0.0,110.0,435.8,8750.0,0.0,0.0,110.0,110.0,433.0,0.0,0.0,0.0,1.0,333.3,70.1,70.1,67.5,67.5,34.0,-5.32,35.97,7.1,51.8,1.0,-139.69,1.9,100.0,19.2,24.2,34.2,39.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3445.0,4758.0,3961.0,4804.0,315.7,311.7,345.4,343.2,23.01,22.27,26.82,26.31,325.0,325.0,355.0,355.0,99.81,99.74,99.94,99.89,0.22,0.29,0.43,0.57,0.0,-0.0,-0.0,-0.0,69.8,65.2,87.4,84.2,68.6,62.9,90.0,86.9,66.1,60.7,87.9,84.6,64.5,59.6,86.5,83.2,0.09,-0.09,0.07,0.06,0.0,135.4,135.6,124.03,124.2,356.7,7.7,0.3352610922848042,141.51997238054747,57.61627372186682,39.61118806997888,28.808137088542622,0,4
1250,62.45,1052.6,44.05315942248747,-78.68243422613043,35.5,10.2,1.2,-37.6,2623.8,2624.0,159.4,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,100.0,1.0,1.186,26.0,0.0,8.607,74.678,66.0,0.0,26.0,26.0,26.0,26.0,0.21,-0.21,0.04,378.4,-2.81,-2.36,-1.78,-1.34,-792.64,527.22,5.4,0.0,0.0,0.0,0.0,0.58,-7.49,-7.49,-0.93,0.65,0.21,-3.17,44.26,0.24,-0.46,-0.33,100.0,0.0,0.0,123.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6607.0,0.0,30.0,4.0,159.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.481,62.481,74.679,35.607,1.0,110.0,435.8,8750.0,0.0,0.0,110.0,110.0,433.0,0.0,0.0,0.0,1.0,166.7,69.3,69.3,67.3,67.3,34.0,-12.01,26.03,0.8,43.5,1.0,-139.74,3.8,100.0,21.0,24.8,34.3,38.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3625.0,4400.0,4569.0,4800.0,315.1,312.7,344.0,343.2,23.01,22.27,26.82,26.31,325.0,325.0,355.0,355.0,99.81,99.74,99.94,99.89,0.08,0.15,0.28,0.44,0.0,0.0,-0.4,-0.5,69.8,65.2,87.4,84.2,68.6,62.8,90.0,86.9,66.1,60.7,87.8,84.5,64.4,59.6,86.4,83.2,0.22,-0.21,0.07,0.05,0.0,135.79,135.87,123.86,123.86,356.7,7.7,0.29966648127543394,150.16241342175678,61.93749428514823,39.61118806997945,28.80813708854305,0,4
1251,62.5,1054.8,44.05317812837687,-78.6824420502284,11.5,-7.1,24.5,-10.9,2626.0,2626.0,159.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,100.0,1.0,1.186,26.0,0.0,8.604,74.678,66.0,0.0,26.0,26.0,26.0,26.0,0.08,-0.2,-0.03,378.5,-2.85,-2.48,-1.67,-1.46,-793.51,529.3,5.4,0.0,0.0,0.0,0.0,0.59,-7.49,-7.49,-0.93,-0.43,0.08,-2.22,44.17,0.15,-0.47,1.65,100.0,0.0,0.0,123.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6605.0,0.0,30.0,4.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.531,62.531,74.679,35.607,0.0,110.0,435.8,8750.0,0.0,0.0,110.0,110.0,433.0,0.0,0.0,0.0,1.0,333.3,69.3,69.3,67.6,67.6,34.0,-18.03,18.29,-10.7,30.4,1.0,-139.79,4.5,100.0,21.6,24.4,35.5,37.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3801.0,4115.0,4456.0,4495.0,314.7,313.5,344.2,343.9,23.0,22.27,26.82,26.31,325.0,325.0,355.0,355.0,99.81,99.74,99.94,99.89,-0.02,0.03,0.1,0.24,-0.0,-0.0,-0.3,-0.2,69.8,65.2,87.4,84.2,68.6,62.8,89.9,86.8,66.1,60.7,87.8,84.5,64.4,59.6,86.4,83.1,0.25,-0.26,0.08,0.04,0.0,135.55,135.44,123.83,123.83,356.7,7.7,0.21748563170931548,145.48109118754542,60.49708743072112,-50.414239335926254,-21.60610310091883,0,4
1252,62.55,1057.0,44.053195755080345,-78.6824493347334,19.0,-5.6,5.4,-23.6,2628.2,2628.0,158.8,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,100.0,1.0,1.186,26.0,0.0,8.601,74.678,66.0,0.0,26.0,26.0,26.0,26.0,-0.0,-0.18,-0.02,378.6,-2.77,-2.58,-1.56,-1.56,-794.32,531.26,5.4,0.0,0.0,0.0,0.0,0.59,-7.49,-7.49,-0.95,-0.35,-0.03,-2.55,44.09,0.06,-0.48,2.47,100.0,0.0,0.0,123.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6593.0,0.0,30.0,4.0,158.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.58,62.58,74.679,35.607,1.0,110.0,435.8,8750.0,0.0,0.0,110.0,110.0,433.0,0.0,0.0,0.0,1.0,333.3,68.6,68.6,68.5,68.5,34.0,-22.4,16.26,-18.5,21.7,1.0,-139.84,3.6,100.0,22.5,24.1,35.8,36.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4070.0,4110.0,4370.0,4292.0,313.9,313.5,344.4,344.4,23.0,22.27,26.82,26.31,325.0,325.0,355.0,355.0,99.81,99.74,99.94,99.89,-0.08,-0.02,-0.05,0.11,-0.0,0.0,-0.3,-0.2,69.8,65.2,87.4,84.2,68.5,62.8,89.8,86.8,66.0,60.7,87.7,84.4,64.4,59.6,86.3,83.1,0.23,-0.23,0.08,0.05,0.0,135.38,135.13,123.59,123.59,356.7,7.7,0.18110770276274832,145.12098948816416,59.77688397505635,39.61118835449014,10.803050981435547,0,4
1253,62.6,1059.2,44.05321437103759,-78.68245697896705,19.8,-5.2,9.1,-20.1,2630.4,2630.0,158.4,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,100.0,1.0,1.186,26.0,0.0,8.598,74.678,66.0,0.0,26.0,26.0,26.0,26.0,-0.08,-0.17,0.03,378.4,-2.65,-2.56,-1.6,-1.66,-795.17,533.33,5.4,0.0,0.0,0.0,0.0,0.59,-7.49,-7.49,-0.96,0.04,-0.15,-1.91,44.0,-0.02,-0.49,2.24,100.0,0.0,0.0,123.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6580.0,0.0,30.0,4.0,158.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,62.631,62.631,74.679,35.607,0.0,110.0,435.8,8750.0,0.0,0.0,110.0,110.0,433.0,0.0,0.0,0.0,1.0,333.3,68.1,68.1,68.5,68.5,34.0,-22.5,16.34,-26.9,15.2,1.0,-139.89,1.1,100.0,23.5,23.9,36.2,35.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4238.0,4048.0,4631.0,4189.0,313.5,313.7,343.8,344.7,23.0,22.27,26.82,26.31,325.0,325.0,355.0,355.0,99.81,99.74,99.94,99.89,-0.07,-0.01,-0.15,-0.01,-0.0,-0.0,-0.3,-0.2,69.8,65.2,87.4,84.2,68.5,62.8,89.8,86.7,66.0,60.7,87.7,84.4,64.4,59.5,86.3,83.0,0.1,-0.1,0.08,0.06,0.0,135.13,134.9,123.36,123.36,356.7,7.7,0.1902629759044045,149.44221002299443,61.57739252886468,-3.601016993811754,5.690235127531196e-07,0,4
1254,62.65,1061.4,44.05323307692699,-78.68246471313286,4.2,-3.6,8.6,-6.0,2632.6,2633.0,158.1,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,100.0,1.0,1.186,26.0,0.0,8.595,74.678,66.0,0.0,26.0,26.0,26.0,26.0,-0.03,-0.17,-0.0,378.4,-2.57,-2.64,-1.55,-1.57,-796.03,535.41,5.4,0.0,0.0,0.0,0.0,0.59,-7.49,-7.49,-0.95,0.28,-0.21,-0.59,43.92,-0.06,-0.49,0.95,100.0,0.0,0.0,123.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6567.0,0.0,30.0,4.0,158.1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,62.681,62.681,74.679,35.607,1.0,110.0,435.8,8750.0,0.0,0.0,110.0,110.0,433.0,0.0,0.0,0.0,1.0,333.3,68.2,68.2,68.2,68.2,34.0,-16.43,21.91,-28.3,14.0,1.0,-139.94,-2.4,100.0,23.7,23.7,36.6,35.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4134.0,4074.0,4565.0,4285.0,313.7,313.6,343.9,344.5,23.0,22.27,26.82,26.31,325.0,325.0,355.0,355.0,99.81,99.74,99.94,99.89,0.02,0.09,-0.19,-0.02,-0.0,-0.0,-0.3,-0.2,69.8,65.2,87.4,84.2,68.5,62.8,89.7,86.7,66.0,60.6,87.6,84.3,64.3,59.5,86.2,83.0,-0.1,0.11,0.07,0.07,0.0,134.79,134.67,123.11,123.11,356.7,7.7,0.1726267650163207,144.76088778878298,59.7768840319587,-50.414239620438366,-18.005084969059766,0,4
1255,62.7,1063.6,44.05325052376615,-78.68247190770572,-2.4,-1.7,-2.9,6.2,2634.8,2635.0,157.8,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,100.0,1.0,1.186,26.0,0.0,8.592,74.678,66.0,0.0,26.0,26.0,26.0,26.0,0.07,-0.16,0.01,378.4,-2.68,-2.68,-1.52,-1.59,-796.83,537.35,5.4,0.0,0.0,0.0,0.0,0.59,-7.49,-7.49,-0.93,0.43,-0.23,0.0,43.84,-0.06,-0.48,-0.92,100.0,0.0,0.0,122.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6556.0,0.0,30.0,4.0,157.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,62.73,62.73,74.679,35.607,0.0,110.0,435.8,8750.0,0.0,0.0,110.0,110.0,433.0,0.0,0.0,0.0,1.0,333.3,68.3,68.3,68.3,68.3,34.0,-7.68,30.55,-24.9,17.0,1.0,-139.99,-6.6,100.0,23.6,23.6,36.5,35.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3997.0,4175.0,4426.0,4421.0,314.1,313.3,344.3,344.1,23.0,22.27,26.82,26.31,325.0,325.0,355.0,355.0,99.81,99.74,99.94,99.89,0.18,0.24,-0.15,0.02,0.0,-0.0,-0.2,-0.3,69.8,65.2,87.4,84.2,68.5,62.8,89.7,86.6,66.0,60.6,87.5,84.3,64.3,59.5,86.1,82.9,-0.33,0.33,0.07,0.06,0.0,134.49,134.51,122.91,122.91,356.7,7.7,0.17492855684535902,144.4007860609506,59.7768840319587,36.010170791655014,18.005084969059766,0,4
1256,62.75,1065.8,44.05326913972339,-78.68247964187152,-7.1,1.7,-10.9,14.0,2637.0,2637.0,157.5,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,100.0,1.0,1.186,26.0,0.0,8.589,74.678,66.0,0.0,26.0,26.0,26.0,26.0,0.2,-0.16,0.04,378.5,-2.66,-2.54,-1.69,-1.58,-797.69,539.42,5.4,0.0,0.0,0.0,0.0,0.59,-7.49,-7.49,-0.92,0.11,-0.21,0.53,43.75,-0.04,-0.47,-3.67,100.0,0.0,0.0,122.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6542.0,0.0,30.0,4.0,157.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,62.781,62.781,74.679,35.607,1.0,110.0,435.8,8750.0,0.0,0.0,110.0,110.0,433.0,0.0,0.0,0.0,1.0,166.7,68.7,68.7,68.0,68.0,34.0,4.7,43.3,-19.0,24.4,1.0,-140.04,-11.6,100.0,23.3,23.7,35.9,36.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3680.0,4346.0,4335.0,4626.0,315.0,312.9,344.5,343.6,23.0,22.26,26.82,26.31,325.0,325.0,355.0,355.0,99.81,99.74,99.94,99.89,0.41,0.48,-0.04,0.11,0.0,-0.0,-0.1,-0.3,69.8,65.2,87.4,84.2,68.4,62.7,89.6,86.5,65.9,60.6,87.5,84.2,64.3,59.5,86.1,82.9,-0.63,0.62,0.06,0.06,0.0,134.09,134.36,122.65,122.65,356.7,7.7,0.25922962793631443,148.36190486794848,61.57739252886468,-10.803051265947943,3.6010169938121805,0,4
1257,62.8,1068.0,44.05328757581631,-78.68248728610517,-10.1,17.2,-19.8,15.3,2639.2,2639.0,157.2,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,100.0,1.0,1.186,26.0,0.0,8.589,74.678,66.0,0.0,26.0,26.0,26.0,26.0,0.36,-0.17,-0.03,378.5,-2.66,-2.54,-1.73,-1.38,-798.54,541.47,5.3,0.0,0.0,0.0,0.0,0.59,-7.49,-7.49,-0.92,-0.19,-0.15,1.31,43.67,0.03,-0.48,-6.8,100.0,0.0,0.0,122.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6530.0,0.0,30.0,4.0,157.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,62.831,62.831,74.679,35.607,0.0,110.0,435.8,8750.0,0.0,0.0,110.0,110.0,433.0,0.0,0.0,0.0,1.0,333.3,68.4,68.4,68.0,68.0,34.0,12.96,58.0,-7.2,35.5,1.0,-140.09,-15.4,100.0,22.8,24.5,35.0,36.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3352.0,4708.0,4039.0,4809.0,315.8,311.9,345.2,343.2,23.0,22.26,26.82,26.31,325.0,325.0,355.0,355.0,99.81,99.74,99.94,99.89,0.64,0.7,0.14,0.29,-0.0,-0.0,-0.1,-0.4,69.7,65.2,87.4,84.2,68.4,62.7,89.5,86.5,65.9,60.6,87.4,84.2,64.3,59.5,86.0,82.8,-0.86,0.87,0.07,0.06,0.0,133.67,134.22,122.21,122.62,356.7,7.7,0.3992492955535426,143.3204809343558,60.13698573133992,-50.41423933592682,-7.202033987623935,0,4
1258,62.85,1070.2,44.05330493272331,-78.68249466054235,-9.5,24.6,-29.0,17.2,2641.4,2641.0,156.9,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,100.0,1.0,1.186,26.0,0.0,8.589,74.678,66.0,0.0,26.0,26.0,26.0,26.0,0.48,-0.17,-0.02,378.4,-2.87,-2.52,-1.77,-1.33,-799.36,543.4,5.3,0.0,0.0,0.0,0.0,0.59,-7.49,-7.49,-0.94,-0.1,-0.1,1.0,43.58,0.12,-0.49,-9.28,100.0,0.0,0.0,122.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6517.0,0.0,30.0,4.0,156.9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,62.88,62.88,74.679,35.607,1.0,110.0,435.8,8750.0,0.0,0.0,110.0,110.0,433.0,0.0,0.0,0.0,1.0,166.7,67.7,67.7,68.5,68.5,34.0,14.69,67.54,3.2,49.2,1.0,-140.14,-16.3,100.0,22.3,25.8,33.5,37.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3219.0,5020.0,3779.0,5004.0,316.2,311.0,345.8,342.7,23.0,22.26,26.82,26.31,325.0,325.0,355.0,355.0,99.81,99.74,99.94,99.89,0.74,0.81,0.33,0.49,-0.0,-0.0,-0.1,-0.4,69.7,65.1,87.4,84.2,68.4,62.8,89.5,86.4,65.9,60.6,87.4,84.1,64.2,59.5,86.0,82.8,-0.93,0.93,0.07,0.06,0.0,133.3,134.06,121.97,122.38,356.7,7.7,0.5096076922496363,143.3204809343558,60.857189130102284,36.010171076167126,32.409153513331006,0,4
