,Time,Distance,GPS Latitude,GPS Longitude,Damper Velocity (Calc) FL,Damper Velocity (Calc) FR,Damper Velocity (Calc) RL,Damper Velocity (Calc) RR,Corr Dist,Corr Dist (Unstretched),Corr Speed,ABS Active,ABS Enabled,AID Allow Tire Blankets,AID Auto Blip,AID Auto Clutch,AID Auto Shift,AID Fuel Rate,AID Ideal Line,AID Mech Damage,AID Stability,AID Tire Wear Rate,Air Density,Air Temp,Ballast,Best Lap Delta,Best Lap Time,Brake Bias,Brake Pos,Brake Temp FL,Brake Temp FR,Brake Temp RL,Brake Temp RR,CG Accel Lateral,CG Accel Longitudinal,CG Accel Vertical,CG Height,Camber FL,Camber FR,Camber RL,Camber RR,Car Coord X,Car Coord Y,Car Coord Z,Car Damage Front,Car Damage Left,Car Damage Rear,Car Damage Right,Car Pos Norm,Caster FL,Caster FR,Chassis Pitch Angle,Chassis Pitch Rate,Chassis Roll Angle,Chassis Roll Rate,Chassis Velocity X,Chassis Velocity Y,Chassis Velocity Z,Chassis Yaw Rate,Clutch Pos,DRS Active,DRS Available,Drive Train Speed,ERS Heat Charging,ERS Is Charging,ERS Max Energy,ERS Power Level,ERS Recovery Level,Engine Brake Setting,Engine Limiter,Engine RPM,Flags,Fuel Level,Gear,Ground Speed,HR Sample Clock,In Pit,KERS Charge,KERS Deployed Energy,KERS Input,KERS Max Energy,LR Sample Clock,Lap Invalidated,Lap Time,Lap Time2,Last Lap Time,Last Sector Time,MR Sample Clock,Max Fuel,Max Power,Max RPM,Max Sus Travel FL,Max Sus Travel FR,Max Sus Travel RL,Max Sus Travel RR,Max Torque,Max Turbo Boost,Num Tires Off Track,Penalties Enabled,Position,Raw Data Sample Rate,Ride Height FL,Ride Height FR,Ride Height RL,Ride Height RR,Road Temp,Self Align Torque FL,Self Align Torque FR,Self Align Torque RL,Self Align Torque RR,Session Lap Count,Session Time Left,Steering Angle,Surface Grip,Suspension Travel FL,Suspension Travel FR,Suspension Travel RL,Suspension Travel RR,TC Active,TC Enabled,Throttle Pos,Tire Dirt Level FL,Tire Dirt Level FR,Tire Dirt Level RL,Tire Dirt Level RR,Tire Load FL,Tire Load FR,Tire Load RL,Tire Load RR,Tire Loaded Radius FL,Tire Loaded Radius FR,Tire Loaded Radius RL,Tire Loaded Radius RR,Tire Pressure FL,Tire Pressure FR,Tire Pressure RL,Tire Pressure RR,Tire Radius FL,Tire Radius FR,Tire Radius RL,Tire Radius RR,Tire Rubber Grip FL,Tire Rubber Grip FR,Tire Rubber Grip RL,Tire Rubber Grip RR,Tire Slip Angle FL,Tire Slip Angle FR,Tire Slip Angle RL,Tire Slip Angle RR,Tire Slip Ratio FL,Tire Slip Ratio FR,Tire Slip Ratio RL,Tire Slip Ratio RR,Tire Temp Core FL,Tire Temp Core FR,Tire Temp Core RL,Tire Temp Core RR,Tire Temp Inner FL,Tire Temp Inner FR,Tire Temp Inner RL,Tire Temp Inner RR,Tire Temp Middle FL,Tire Temp Middle FR,Tire Temp Middle RL,Tire Temp Middle RR,Tire Temp Outer FL,Tire Temp Outer FR,Tire Temp Outer RL,Tire Temp Outer RR,Toe In FL,Toe In FR,Toe In RL,Toe In RR,Turbo Boost,Wheel Angular Speed FL,Wheel Angular Speed FR,Wheel Angular Speed RL,Wheel Angular Speed RR,Wind Direction,Wind Speed,CG Distance,Lateral Velocity,Longitudinal Velocity,Lateral Acceleration,Longitudinal Acceleration,level
1321,66.0,1212.7,44.05425461633916,-78.68331906865849,22.0,-0.7,-12.2,-48.0,2783.9,2784.0,146.3,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,100.0,1.0,1.186,26.0,0.0,8.604,74.678,66.0,100.0,26.0,26.0,26.0,26.0,0.04,-1.84,-0.06,383.7,-2.8,-2.65,-1.38,-1.31,-891.03,649.0,5.5,0.0,0.0,0.0,0.0,0.68,-7.49,-7.49,-1.17,-0.53,-0.38,-0.71,40.59,0.19,-0.88,3.92,100.0,0.0,0.0,109.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5836.0,0.0,30.0,4.0,146.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,66.03,66.03,74.679,27.738,0.0,110.0,435.8,8750.0,0.0,0.0,110.0,110.0,433.0,0.0,0.0,0.0,1.0,333.3,58.3,58.3,88.3,88.3,34.0,-7.47,5.93,-2.7,7.8,1.0,-143.29,8.0,100.0,28.4,29.2,21.4,22.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5669.0,5634.0,2377.0,2452.0,309.5,309.3,349.2,349.0,22.89,22.28,26.78,26.35,325.0,325.0,355.0,355.0,99.81,99.75,99.95,99.9,-0.12,0.0,0.04,0.26,-7.0,-6.7,-4.2,-4.0,69.0,65.3,87.1,84.5,68.0,65.9,87.1,86.3,65.4,63.6,85.0,84.1,63.7,62.4,83.6,82.7,0.47,-0.47,0.1,0.08,0.0,116.04,115.93,109.41,109.41,356.7,7.7,1.8414125013152267,70.94003705418993,120.99417486144219,-10.803051265947516,-14.40406911329518,0
1322,66.05,1214.7,44.0542638793517,-78.68333498665092,2.3,-8.1,-3.0,-24.8,2785.9,2786.0,143.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,100.0,1.0,1.186,26.0,0.0,8.61,74.678,66.0,100.0,26.0,26.0,26.0,26.0,-0.07,-1.81,-0.12,384.4,-2.74,-2.69,-1.34,-1.36,-892.8,650.03,5.5,0.0,0.0,0.0,0.0,0.68,-7.49,-7.49,-1.17,0.19,-0.42,-0.63,39.66,0.05,-0.84,4.41,100.0,0.0,0.0,107.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5714.0,0.0,30.0,4.0,143.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,66.081,66.081,74.679,27.738,1.0,110.0,435.8,8750.0,0.0,0.0,110.0,110.0,433.0,0.0,0.0,0.0,1.0,333.3,59.4,59.4,88.5,88.5,34.0,-8.64,0.56,-7.1,4.8,1.0,-143.34,7.8,100.0,28.5,28.8,21.3,21.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5504.0,5126.0,2599.0,2478.0,310.0,310.6,348.7,348.9,22.89,22.28,26.77,26.35,325.0,325.0,355.0,355.0,99.81,99.75,99.95,99.9,-0.28,-0.18,-0.2,0.06,-7.3,-8.9,-4.1,-3.8,69.0,65.3,87.1,84.4,68.1,66.1,87.1,86.3,65.5,63.7,85.0,84.0,63.8,62.5,83.6,82.7,0.46,-0.45,0.11,0.1,0.0,113.06,110.39,107.11,107.11,356.7,7.7,1.8153236626012454,73.82085073459304,125.67549706720243,-7.20203455664759,-21.606103100918972,0
1323,66.1,1216.6,44.05427305243208,-78.68335045498253,-2.3,-13.1,9.8,-8.4,2787.9,2788.0,139.8,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,100.0,1.0,1.186,26.0,0.0,8.622,74.678,66.0,100.0,26.0,26.0,26.0,26.0,-0.11,-1.79,-0.02,384.5,-2.7,-2.73,-1.33,-1.39,-894.52,651.05,5.5,0.0,0.0,0.0,0.0,0.68,-7.49,-7.49,-1.16,-0.05,-0.45,-0.28,38.76,-0.06,-0.81,4.27,100.0,0.0,0.0,104.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5594.0,0.0,30.0,4.0,139.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.131,66.131,74.679,27.738,0.0,110.0,435.8,8750.0,0.0,0.0,110.0,110.0,433.0,0.0,0.0,0.0,1.0,333.3,59.8,59.8,88.3,88.3,34.0,-8.07,0.54,-10.7,1.9,1.0,-143.39,6.7,100.0,28.4,28.1,21.8,21.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5599.0,5037.0,2735.0,2419.0,309.7,310.9,348.4,349.1,22.89,22.28,26.77,26.35,325.0,325.0,355.0,355.0,99.81,99.75,99.95,99.9,-0.4,-0.28,-0.33,-0.11,-7.7,-6.8,-3.8,-3.7,69.0,65.3,87.1,84.4,68.2,66.2,87.1,86.2,65.6,63.8,85.0,84.0,63.9,62.6,83.5,82.7,0.42,-0.41,0.09,0.09,0.0,110.01,110.14,105.0,104.76,356.7,7.7,1.7934882213162147,70.21983359852517,118.83356455135029,-32.409154082354945,-61.21729060187377,0
1324,66.15,1218.5,44.05428141612301,-78.6833646642639,0.2,-10.7,7.7,-4.2,2789.8,2790.0,136.7,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,100.0,1.0,1.186,26.0,0.0,8.631,74.678,66.0,100.0,26.0,26.0,26.0,26.0,-0.15,-1.79,-0.02,384.5,-2.65,-2.75,-1.29,-1.4,-896.1,651.98,5.5,0.0,0.0,0.0,0.0,0.68,-7.49,-7.49,-1.17,-0.29,-0.46,0.08,37.91,-0.12,-0.78,3.58,100.0,0.0,0.0,102.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5475.0,0.0,30.0,4.0,136.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.18,66.18,74.679,27.738,1.0,110.0,435.8,8750.0,0.0,0.0,110.0,110.0,433.0,0.0,0.0,0.0,1.0,333.3,60.0,60.0,88.1,88.1,34.0,-8.27,0.33,-12.8,0.4,1.0,-143.44,3.7,100.0,28.4,27.6,22.2,21.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5630.0,5009.0,2785.0,2432.0,309.6,311.1,348.2,349.0,22.89,22.28,26.77,26.35,325.0,325.0,355.0,355.0,99.81,99.75,99.95,99.9,-0.36,-0.24,-0.43,-0.19,-7.6,-8.8,-3.8,-3.7,69.0,65.3,87.1,84.4,68.3,66.3,87.0,86.2,65.7,63.9,84.9,84.0,64.0,62.7,83.5,82.6,0.24,-0.25,0.1,0.09,0.0,107.76,110.29,102.77,102.53,356.7,7.7,1.7963852593472258,70.57993532635754,119.55376800701505,-7.202033987623935,-18.005084969059908,0
1325,66.2,1220.4,44.054290679135555,-78.68338031245985,0.6,-5.9,3.3,-4.0,2791.6,2792.0,133.3,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,100.0,1.0,1.186,26.0,0.0,8.64,74.678,66.0,100.0,26.0,26.0,26.0,26.0,-0.14,-1.79,-0.02,384.6,-2.63,-2.78,-1.29,-1.42,-897.84,653.01,5.5,0.0,0.0,0.0,0.0,0.68,-7.49,-7.49,-1.18,-0.2,-0.45,0.21,36.96,-0.15,-0.77,2.35,100.0,0.0,0.0,99.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5332.0,0.0,30.0,4.0,133.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.234,66.234,74.679,27.738,0.0,110.0,435.8,8750.0,0.0,0.0,110.0,110.0,433.0,0.0,0.0,0.0,1.0,166.7,60.0,60.0,88.3,88.3,34.0,-9.68,-0.31,-12.5,0.2,1.0,-143.49,0.5,100.0,28.5,27.3,22.3,20.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5660.0,5081.0,2669.0,2348.0,309.5,310.8,348.5,349.2,22.89,22.28,26.77,26.35,325.0,325.0,355.0,355.0,99.81,99.75,99.95,99.9,-0.26,-0.16,-0.46,-0.2,-7.0,-11.2,-3.8,-3.7,69.0,65.3,87.1,84.4,68.4,66.5,87.0,86.2,65.8,64.0,84.9,83.9,64.1,62.8,83.5,82.6,0.06,-0.06,0.1,0.09,0.0,105.69,100.25,99.97,99.97,356.7,7.7,1.795577901401106,69.49963019976278,117.0330560544443,-64.81830788019764,-122.43458120374811,0
1326,66.25,1222.2,44.054298773030006,-78.6833938922161,-3.1,-6.4,-3.8,-3.8,2793.4,2793.0,130.2,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,100.0,1.0,1.186,26.0,0.0,8.652,74.678,66.0,100.0,26.0,26.0,26.0,26.0,-0.1,-1.77,-0.04,385.0,-2.63,-2.79,-1.28,-1.41,-899.35,653.91,5.5,0.0,0.0,0.0,0.0,0.68,-7.49,-7.49,-1.19,-0.08,-0.44,0.55,36.12,-0.15,-0.75,0.95,100.0,0.0,0.0,97.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5210.0,0.0,30.0,4.0,130.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.281,66.281,74.679,27.738,1.0,110.0,435.8,8750.0,0.0,0.0,110.0,110.0,433.0,0.0,0.0,0.0,1.0,333.3,60.7,60.7,88.4,88.4,34.0,-6.66,0.91,-11.3,0.6,1.0,-143.54,-2.4,100.0,28.3,27.0,22.1,20.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5447.0,5004.0,2652.0,2392.0,310.1,311.0,348.6,349.1,22.88,22.28,26.77,26.35,325.0,325.0,355.0,355.0,99.82,99.75,99.95,99.9,-0.17,-0.05,-0.41,-0.18,-7.3,-9.1,-3.9,-3.8,69.0,65.3,87.0,84.4,68.5,66.6,87.0,86.1,65.9,64.1,84.9,83.9,64.2,62.9,83.5,82.6,-0.1,0.11,0.1,0.09,0.0,102.77,100.31,97.68,97.68,356.7,7.7,1.773273808524786,64.09810453833778,107.31030988664024,-50.41423933592611,-93.62644525325237,0
1327,66.3,1224.0,44.05430668706014,-78.68340711224371,-4.8,-3.1,-6.6,1.0,2795.2,2795.0,127.2,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,100.0,1.0,1.186,26.0,0.0,8.661,74.678,66.0,100.0,26.0,26.0,26.0,26.0,-0.02,-1.78,-0.06,385.2,-2.63,-2.77,-1.31,-1.4,-900.82,654.79,5.5,0.0,0.0,0.0,0.0,0.68,-7.49,-7.49,-1.19,-0.15,-0.41,0.91,35.29,-0.12,-0.73,-0.67,100.0,0.0,0.0,95.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5089.0,0.0,30.0,4.0,127.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.33,66.33,74.679,27.738,0.0,110.0,435.8,8750.0,0.0,0.0,110.0,110.0,433.0,0.0,0.0,0.0,1.0,333.3,60.9,60.9,88.6,88.6,34.0,-2.46,5.25,-9.3,2.3,1.0,-143.59,-4.7,100.0,28.1,26.8,21.8,20.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5335.0,5118.0,2529.0,2399.0,310.4,310.7,348.9,349.1,22.88,22.28,26.77,26.35,325.0,325.0,355.0,355.0,99.82,99.75,99.95,99.9,-0.05,0.06,-0.32,-0.08,-8.4,-7.2,-3.8,-3.9,69.0,65.3,87.0,84.4,68.6,66.7,86.9,86.1,66.0,64.2,84.9,83.8,64.3,63.0,83.4,82.5,-0.23,0.24,0.1,0.08,0.0,99.13,100.04,95.4,95.4,356.7,7.7,1.7811232411037705,64.45820626617017,107.67041152911906,3.6010169938120384,10.803050412412318,0
1328,66.35,1225.7,44.054314870886756,-78.68342078193211,-9.1,-0.5,-13.2,1.7,2796.9,2797.0,124.1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,100.0,1.0,1.186,26.0,0.0,8.673,74.678,66.0,100.0,26.0,26.0,26.0,26.0,0.01,-1.75,-0.03,385.5,-2.65,-2.73,-1.33,-1.36,-902.34,655.7,5.5,0.0,0.0,0.0,0.0,0.69,-7.49,-7.49,-1.2,-0.25,-0.37,0.51,34.4,-0.07,-0.71,-1.68,100.0,0.0,0.0,93.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4962.0,0.0,30.0,4.0,124.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.381,66.381,74.679,27.738,1.0,110.0,435.8,8750.0,0.0,0.0,110.0,110.0,433.0,0.0,0.0,0.0,1.0,166.7,61.2,61.2,88.8,88.8,34.0,0.57,-1.01,-7.3,4.2,1.0,-143.64,-5.3,100.0,27.6,26.8,21.1,20.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5166.0,5171.0,2468.0,2484.0,310.9,310.6,349.0,348.9,22.88,22.28,26.76,26.34,325.0,325.0,355.0,355.0,99.82,99.75,99.95,99.9,0.06,0.14,-0.21,0.03,-11.7,-13.1,-3.8,-3.9,69.0,65.3,87.0,84.4,68.7,66.8,86.9,86.1,66.1,64.4,84.8,83.8,64.4,63.1,83.4,82.5,-0.3,0.31,0.11,0.09,0.0,92.96,96.23,93.02,93.02,356.7,7.7,1.7502856909659064,64.45820623771898,108.39061492788147,-32.40915436686677,-46.81322205760253,0
1329,66.4,1227.4,44.054322784916884,-78.68343418182404,-6.3,1.1,-7.2,3.2,2798.6,2799.0,120.9,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,100.0,1.0,1.186,26.0,0.0,8.685,74.678,66.0,100.0,26.0,26.0,26.0,26.0,0.03,-1.76,-0.06,385.6,-2.67,-2.7,-1.36,-1.34,-903.83,656.58,5.5,0.0,0.0,0.0,0.0,0.69,-7.49,-7.49,-1.21,-0.21,-0.34,0.35,33.53,-0.03,-0.7,-2.1,100.0,0.0,0.0,90.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4837.0,0.0,30.0,4.0,120.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.431,66.431,74.679,27.738,0.0,110.0,435.8,8750.0,0.0,0.0,110.0,110.0,433.0,0.0,0.0,0.0,1.0,333.3,61.3,61.3,89.0,89.0,34.0,-1.92,0.99,-5.2,6.0,1.0,-143.69,-4.8,100.0,27.3,26.9,20.8,20.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5130.0,5270.0,2390.0,2482.0,311.0,310.3,349.2,348.9,22.88,22.28,26.76,26.34,325.0,325.0,355.0,355.0,99.82,99.76,99.95,99.9,0.07,0.17,-0.09,0.14,-8.2,-9.5,-3.8,-3.9,69.0,65.3,87.0,84.4,68.8,66.9,86.9,86.0,66.2,64.5,84.8,83.8,64.5,63.2,83.4,82.5,-0.27,0.26,0.1,0.09,0.0,94.16,93.01,90.69,90.69,356.7,7.7,1.7612779451296152,61.21729082948349,102.98908932335881,-46.81322234211457,-82.82339256474557,0
1330,66.45,1229.0,44.05433015935405,-78.68344650253005,-7.0,-0.5,-8.9,-2.3,2800.2,2800.0,118.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,100.0,1.0,1.186,26.0,0.0,8.697,74.678,66.0,100.0,26.0,26.0,26.0,26.0,0.11,-1.71,-0.07,385.9,-2.67,-2.69,-1.36,-1.33,-905.2,657.4,5.5,0.0,0.0,0.0,0.0,0.69,-7.49,-7.49,-1.22,-0.04,-0.33,0.5,32.72,0.01,-0.68,-2.46,100.0,0.0,0.0,88.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4714.0,0.0,30.0,4.0,118.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.48,66.48,74.679,27.738,1.0,110.0,435.8,8750.0,0.0,0.0,110.0,110.0,433.0,0.0,0.0,0.0,1.0,333.3,61.7,61.7,89.3,89.3,34.0,-1.53,13.28,-3.9,7.0,1.0,-143.74,-4.3,100.0,27.0,26.8,20.3,20.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5045.0,5206.0,2363.0,2461.0,311.2,310.5,349.3,349.0,22.88,22.28,26.76,26.34,325.0,325.0,355.0,355.0,99.82,99.76,99.95,99.9,0.11,0.22,-0.02,0.22,-8.2,-5.8,-3.8,-4.1,69.0,65.3,87.0,84.4,69.0,67.0,86.8,86.0,66.3,64.6,84.7,83.8,64.6,63.3,83.3,82.4,-0.25,0.26,0.11,0.09,0.0,96.62,93.84,88.37,88.37,356.7,7.7,1.7149635564641015,59.776884003507526,100.10827567140691,-14.404068259759626,-25.20712009473087,0
