,curve_number,GPS Latitude,GPS Longitude,CG Distance,Damper Velocity (Calc) FL,Damper Velocity (Calc) FR,Damper Velocity (Calc) RL,Damper Velocity (Calc) RR,Corr Speed,Brake Pos,CG Accel Lateral,CG Accel Longitudinal,CG Accel Vertical,CG Height,Camber FL,Camber FR,Camber RL,Camber RR,Car Coord X,Car Coord Y,Car Coord Z,Car Pos Norm,Chassis Pitch Angle,Chassis Pitch Rate,Chassis Roll Angle,Chassis Roll Rate,Chassis Velocity X,Chassis Velocity Y,Chassis Velocity Z,Chassis Yaw Rate,Drive Train Speed,Engine RPM,Ground Speed,Ride Height FL,Ride Height FR,Ride Height RL,Ride Height RR,Road Temp,Self Align Torque FL,Self Align Torque FR,Self Align Torque RL,Self Align Torque RR,Steering Angle,Suspension Travel FL,Suspension Travel FR,Suspension Travel RL,Suspension Travel RR,Tire Load FL,Tire Load FR,Tire Load RL,Tire Load RR,Tire Loaded Radius FL,Tire Loaded Radius FR,Tire Loaded Radius RL,Tire Loaded Radius RR,Tire Pressure FL,Tire Pressure FR,Tire Pressure RL,Tire Pressure RR,Tire Rubber Grip FL,Tire Rubber Grip FR,Tire Rubber Grip RL,Tire Rubber Grip RR,Tire Slip Angle FL,Tire Slip Angle FR,Tire Slip Angle RL,Tire Slip Angle RR,Tire Slip Ratio FL,Tire Slip Ratio FR,Tire Slip Ratio RL,Tire Slip Ratio RR,Tire Temp Core FL,Tire Temp Core FR,Tire Temp Core RL,Tire Temp Core RR,Tire Temp Inner FL,Tire Temp Inner FR,Tire Temp Inner RL,Tire Temp Inner RR,Tire Temp Middle FL,Tire Temp Middle FR,Tire Temp Middle RL,Tire Temp Middle RR,Tire Temp Outer FL,Tire Temp Outer FR,Tire Temp Outer RL,Tire Temp Outer RR,Toe In FL,Toe In FR,Toe In RL,Toe In RR,Wheel Angular Speed FL,Wheel Angular Speed FR,Wheel Angular Speed RL,Wheel Angular Speed RR,Lateral Velocity,Longitudinal Velocity,Lateral Acceleration,Longitudinal Acceleration,level
0,4,44.05314062666591,-78.68242658189678,0.3352610922848042,36.4,22.6,-11.7,-29.6,159.1,0.0,0.32,-0.1,0.0,378.8,-2.9,-2.2,-1.94,-1.36,-791.79,525.13,5.4,0.58,-0.92,-1.59,0.37,-2.56,44.19,0.31,-0.43,-2.49,124.12,7848.0,159.1,70.1,70.1,67.5,67.5,34.0,-5.32,35.97,7.1,51.8,1.9,19.2,24.2,34.2,39.9,3445.0,4758.0,3961.0,4804.0,315.7,311.7,345.4,343.2,23.01,22.27,26.82,26.31,99.81,99.74,99.94,99.89,0.22,0.29,0.43,0.57,0.0,-0.0,-0.0,-0.0,69.8,65.2,87.4,84.2,68.6,62.9,90.0,86.9,66.1,60.7,87.9,84.6,64.5,59.6,86.5,83.2,0.09,-0.09,0.07,0.06,135.4,135.6,124.03,124.2,141.51997238054747,57.61627372186682,39.61118806997888,28.808137088542622,0
1,4,44.05315942248747,-78.68243422613043,0.2996664812754339,35.5,10.2,1.2,-37.6,159.4,0.0,0.21,-0.21,0.04,378.4,-2.81,-2.36,-1.78,-1.34,-792.64,527.22,5.4,0.58,-0.93,0.65,0.21,-3.17,44.26,0.24,-0.46,-0.33,123.86,6607.0,159.4,69.3,69.3,67.3,67.3,34.0,-12.01,26.03,0.8,43.5,3.8,21.0,24.8,34.3,38.1,3625.0,4400.0,4569.0,4800.0,315.1,312.7,344.0,343.2,23.01,22.27,26.82,26.31,99.81,99.74,99.94,99.89,0.08,0.15,0.28,0.44,0.0,0.0,-0.4,-0.5,69.8,65.2,87.4,84.2,68.6,62.8,90.0,86.9,66.1,60.7,87.8,84.5,64.4,59.6,86.4,83.2,0.22,-0.21,0.07,0.05,135.79,135.87,123.86,123.86,150.16241342175678,61.93749428514823,39.61118806997945,28.80813708854305,0
2,4,44.05317812837687,-78.6824420502284,0.2174856317093154,11.5,-7.1,24.5,-10.9,159.0,0.0,0.08,-0.2,-0.03,378.5,-2.85,-2.48,-1.67,-1.46,-793.51,529.3,5.4,0.59,-0.93,-0.43,0.08,-2.22,44.17,0.15,-0.47,1.65,123.83,6605.0,159.0,69.3,69.3,67.6,67.6,34.0,-18.03,18.29,-10.7,30.4,4.5,21.6,24.4,35.5,37.5,3801.0,4115.0,4456.0,4495.0,314.7,313.5,344.2,343.9,23.0,22.27,26.82,26.31,99.81,99.74,99.94,99.89,-0.02,0.03,0.1,0.24,-0.0,-0.0,-0.3,-0.2,69.8,65.2,87.4,84.2,68.6,62.8,89.9,86.8,66.1,60.7,87.8,84.5,64.4,59.6,86.4,83.1,0.25,-0.26,0.08,0.04,135.55,135.44,123.83,123.83,145.48109118754542,60.49708743072112,-50.414239335926254,-21.60610310091883,0
3,4,44.053195755080345,-78.6824493347334,0.1811077027627483,19.0,-5.6,5.4,-23.6,158.8,0.0,-0.0,-0.18,-0.02,378.6,-2.77,-2.58,-1.56,-1.56,-794.32,531.26,5.4,0.59,-0.95,-0.35,-0.03,-2.55,44.09,0.06,-0.48,2.47,123.59,6593.0,158.8,68.6,68.6,68.5,68.5,34.0,-22.4,16.26,-18.5,21.7,3.6,22.5,24.1,35.8,36.3,4070.0,4110.0,4370.0,4292.0,313.9,313.5,344.4,344.4,23.0,22.27,26.82,26.31,99.81,99.74,99.94,99.89,-0.08,-0.02,-0.05,0.11,-0.0,0.0,-0.3,-0.2,69.8,65.2,87.4,84.2,68.5,62.8,89.8,86.8,66.0,60.7,87.7,84.4,64.4,59.6,86.3,83.1,0.23,-0.23,0.08,0.05,135.38,135.13,123.59,123.59,145.12098948816416,59.77688397505635,39.61118835449014,10.803050981435549,0
4,4,44.05321437103759,-78.68245697896705,0.1902629759044045,19.8,-5.2,9.1,-20.1,158.4,0.0,-0.08,-0.17,0.03,378.4,-2.65,-2.56,-1.6,-1.66,-795.17,533.33,5.4,0.59,-0.96,0.04,-0.15,-1.91,44.0,-0.02,-0.49,2.24,123.36,6580.0,158.4,68.1,68.1,68.5,68.5,34.0,-22.5,16.34,-26.9,15.2,1.1,23.5,23.9,36.2,35.3,4238.0,4048.0,4631.0,4189.0,313.5,313.7,343.8,344.7,23.0,22.27,26.82,26.31,99.81,99.74,99.94,99.89,-0.07,-0.01,-0.15,-0.01,-0.0,-0.0,-0.3,-0.2,69.8,65.2,87.4,84.2,68.5,62.8,89.8,86.7,66.0,60.7,87.7,84.4,64.4,59.5,86.3,83.0,0.1,-0.1,0.08,0.06,135.13,134.9,123.36,123.36,149.44221002299443,61.57739252886468,-3.601016993811754,5.690235127531196e-07,0
5,4,44.05323307692699,-78.68246471313286,0.1726267650163207,4.2,-3.6,8.6,-6.0,158.1,0.0,-0.03,-0.17,-0.0,378.4,-2.57,-2.64,-1.55,-1.57,-796.03,535.41,5.4,0.59,-0.95,0.28,-0.21,-0.59,43.92,-0.06,-0.49,0.95,123.11,6567.0,158.1,68.2,68.2,68.2,68.2,34.0,-16.43,21.91,-28.3,14.0,-2.4,23.7,23.7,36.6,35.0,4134.0,4074.0,4565.0,4285.0,313.7,313.6,343.9,344.5,23.0,22.27,26.82,26.31,99.81,99.74,99.94,99.89,0.02,0.09,-0.19,-0.02,-0.0,-0.0,-0.3,-0.2,69.8,65.2,87.4,84.2,68.5,62.8,89.7,86.7,66.0,60.6,87.6,84.3,64.3,59.5,86.2,83.0,-0.1,0.11,0.07,0.07,134.79,134.67,123.11,123.11,144.76088778878298,59.7768840319587,-50.414239620438366,-18.005084969059766,0
6,4,44.05325052376615,-78.68247190770572,0.174928556845359,-2.4,-1.7,-2.9,6.2,157.8,0.0,0.07,-0.16,0.01,378.4,-2.68,-2.68,-1.52,-1.59,-796.83,537.35,5.4,0.59,-0.93,0.43,-0.23,0.0,43.84,-0.06,-0.48,-0.92,122.91,6556.0,157.8,68.3,68.3,68.3,68.3,34.0,-7.68,30.55,-24.9,17.0,-6.6,23.6,23.6,36.5,35.3,3997.0,4175.0,4426.0,4421.0,314.1,313.3,344.3,344.1,23.0,22.27,26.82,26.31,99.81,99.74,99.94,99.89,0.18,0.24,-0.15,0.02,0.0,-0.0,-0.2,-0.3,69.8,65.2,87.4,84.2,68.5,62.8,89.7,86.6,66.0,60.6,87.5,84.3,64.3,59.5,86.1,82.9,-0.33,0.33,0.07,0.06,134.49,134.51,122.91,122.91,144.4007860609506,59.7768840319587,36.010170791655014,18.005084969059766,0
7,4,44.05326913972339,-78.68247964187152,0.2592296279363144,-7.1,1.7,-10.9,14.0,157.5,0.0,0.2,-0.16,0.04,378.5,-2.66,-2.54,-1.69,-1.58,-797.69,539.42,5.4,0.59,-0.92,0.11,-0.21,0.53,43.75,-0.04,-0.47,-3.67,122.65,6542.0,157.5,68.7,68.7,68.0,68.0,34.0,4.7,43.3,-19.0,24.4,-11.6,23.3,23.7,35.9,36.0,3680.0,4346.0,4335.0,4626.0,315.0,312.9,344.5,343.6,23.0,22.26,26.82,26.31,99.81,99.74,99.94,99.89,0.41,0.48,-0.04,0.11,0.0,-0.0,-0.1,-0.3,69.8,65.2,87.4,84.2,68.4,62.7,89.6,86.5,65.9,60.6,87.5,84.2,64.3,59.5,86.1,82.9,-0.63,0.62,0.06,0.06,134.09,134.36,122.65,122.65,148.36190486794848,61.57739252886468,-10.803051265947945,3.6010169938121805,0
8,4,44.05328757581631,-78.68248728610517,0.3992492955535426,-10.1,17.2,-19.8,15.3,157.2,0.0,0.36,-0.17,-0.03,378.5,-2.66,-2.54,-1.73,-1.38,-798.54,541.47,5.3,0.59,-0.92,-0.19,-0.15,1.31,43.67,0.03,-0.48,-6.8,122.41,6530.0,157.2,68.4,68.4,68.0,68.0,34.0,12.96,58.0,-7.2,35.5,-15.4,22.8,24.5,35.0,36.8,3352.0,4708.0,4039.0,4809.0,315.8,311.9,345.2,343.2,23.0,22.26,26.82,26.31,99.81,99.74,99.94,99.89,0.64,0.7,0.14,0.29,-0.0,-0.0,-0.1,-0.4,69.7,65.2,87.4,84.2,68.4,62.7,89.5,86.5,65.9,60.6,87.4,84.2,64.3,59.5,86.0,82.8,-0.86,0.87,0.07,0.06,133.67,134.22,122.21,122.62,143.3204809343558,60.13698573133992,-50.41423933592682,-7.202033987623935,0
9,4,44.05330493272331,-78.68249466054235,0.5096076922496363,-9.5,24.6,-29.0,17.2,156.9,0.0,0.48,-0.17,-0.02,378.4,-2.87,-2.52,-1.77,-1.33,-799.36,543.4,5.3,0.59,-0.94,-0.1,-0.1,1.0,43.58,0.12,-0.49,-9.28,122.18,6517.0,156.9,67.7,67.7,68.5,68.5,34.0,14.69,67.54,3.2,49.2,-16.3,22.3,25.8,33.5,37.7,3219.0,5020.0,3779.0,5004.0,316.2,311.0,345.8,342.7,23.0,22.26,26.82,26.31,99.81,99.74,99.94,99.89,0.74,0.81,0.33,0.49,-0.0,-0.0,-0.1,-0.4,69.7,65.1,87.4,84.2,68.4,62.8,89.5,86.4,65.9,60.6,87.4,84.1,64.2,59.5,86.0,82.8,-0.93,0.93,0.07,0.06,133.3,134.06,121.97,122.38,143.3204809343558,60.857189130102284,36.010171076167126,32.409153513331006,0
10,4,44.05332336881623,-78.68250248464031,0.6123724356957945,-14.1,17.8,-25.1,19.3,156.6,0.0,0.58,-0.19,0.05,378.4,-2.89,-2.33,-1.96,-1.31,-800.23,545.45,5.3,0.6,-0.94,-0.01,-0.05,0.3,43.49,0.24,-0.5,-10.78,121.93,6504.0,156.6,67.7,67.7,68.7,68.7,34.0,16.69,73.52,11.8,62.9,-15.8,21.6,26.7,32.3,38.6,3040.0,5205.0,3662.0,5184.0,316.7,310.5,346.1,342.2,23.0,22.26,26.82,26.31,99.81,99.74,99.94,99.89,0.85,0.9,0.55,0.69,-0.0,-0.1,-0.1,-0.4,69.7,65.1,87.4,84.2,68.4,62.8,89.4,86.4,65.9,60.6,87.3,84.1,64.2,59.5,85.9,82.7,-0.92,0.91,0.07,0.05,132.94,133.87,121.62,122.23,146.9214980419725,63.37790108267302,25.207119810219183,36.01017164519064,0
11,4,44.05334162504483,-78.6825104886026,0.73824115301167,-12.0,13.6,-15.5,13.4,156.3,0.0,0.71,-0.2,-0.03,378.5,-2.89,-2.33,-1.95,-1.14,-801.12,547.48,5.3,0.6,-0.93,0.16,-0.04,-0.03,43.4,0.34,-0.5,-11.38,121.67,6490.0,156.3,67.7,67.7,68.5,68.5,34.0,17.69,80.98,17.6,70.7,-15.6,21.0,27.3,31.5,39.3,2811.0,5378.0,3528.0,5213.0,317.3,310.0,346.4,342.2,22.99,22.26,26.82,26.31,99.81,99.74,99.94,99.89,0.94,1.0,0.7,0.86,-0.0,-0.0,-0.2,-0.4,69.7,65.1,87.4,84.2,68.3,62.8,89.4,86.4,65.9,60.7,87.2,84.0,64.2,59.5,85.8,82.7,-0.91,0.9,0.08,0.06,132.64,133.6,121.38,121.95,145.84119291537772,64.45820629462135,-61.21729088638602,5.690235838073932e-07,0
12,4,44.05335979134127,-78.68251858249707,0.7894935085230277,-14.7,7.7,-13.1,11.5,155.9,0.0,0.76,-0.21,0.04,378.6,-3.03,-2.36,-1.94,-1.15,-802.02,549.5,5.3,0.6,-0.92,0.21,-0.05,-0.65,43.31,0.42,-0.5,-11.63,121.4,6475.0,155.9,67.9,67.9,68.5,68.5,34.0,18.74,86.13,22.1,79.6,-15.6,20.2,27.7,30.8,39.9,2743.0,5445.0,3471.0,5350.0,317.6,309.8,346.6,341.8,22.99,22.26,26.82,26.31,99.81,99.74,99.94,99.89,1.04,1.1,0.83,0.99,0.0,-0.1,-0.1,-0.4,69.7,65.1,87.4,84.2,68.3,62.8,89.3,86.3,65.8,60.7,87.2,84.0,64.2,59.6,85.8,82.7,-0.9,0.9,0.08,0.05,132.34,133.35,121.1,121.69,140.7997689533339,63.37790113957538,-61.21729117089757,-5.690236548616667e-07,0
