,Time,Distance,GPS Latitude,GPS Longitude,Damper Velocity (Calc) FL,Damper Velocity (Calc) FR,Damper Velocity (Calc) RL,Damper Velocity (Calc) RR,Corr Dist,Corr Dist (Unstretched),Corr Speed,ABS Active,ABS Enabled,AID Allow Tire Blankets,AID Auto Blip,AID Auto Clutch,AID Auto Shift,AID Fuel Rate,AID Ideal Line,AID Mech Damage,AID Stability,AID Tire Wear Rate,Air Density,Air Temp,Ballast,Best Lap Delta,Best Lap Time,Brake Bias,Brake Pos,Brake Temp FL,Brake Temp FR,Brake Temp RL,Brake Temp RR,CG Accel Lateral,CG Accel Longitudinal,CG Accel Vertical,CG Height,Camber FL,Camber FR,Camber RL,Camber RR,Car Coord X,Car Coord Y,Car Coord Z,Car Damage Front,Car Damage Left,Car Damage Rear,Car Damage Right,Car Pos Norm,Caster FL,Caster FR,Chassis Pitch Angle,Chassis Pitch Rate,Chassis Roll Angle,Chassis Roll Rate,Chassis Velocity X,Chassis Velocity Y,Chassis Velocity Z,Chassis Yaw Rate,Clutch Pos,DRS Active,DRS Available,Drive Train Speed,ERS Heat Charging,ERS Is Charging,ERS Max Energy,ERS Power Level,ERS Recovery Level,Engine Brake Setting,Engine Limiter,Engine RPM,Flags,Fuel Level,Gear,Ground Speed,HR Sample Clock,In Pit,KERS Charge,KERS Deployed Energy,KERS Input,KERS Max Energy,LR Sample Clock,Lap Invalidated,Lap Time,Lap Time2,Last Lap Time,Last Sector Time,MR Sample Clock,Max Fuel,Max Power,Max RPM,Max Sus Travel FL,Max Sus Travel FR,Max Sus Travel RL,Max Sus Travel RR,Max Torque,Max Turbo Boost,Num Tires Off Track,Penalties Enabled,Position,Raw Data Sample Rate,Ride Height FL,Ride Height FR,Ride Height RL,Ride Height RR,Road Temp,Self Align Torque FL,Self Align Torque FR,Self Align Torque RL,Self Align Torque RR,Session Lap Count,Session Time Left,Steering Angle,Surface Grip,Suspension Travel FL,Suspension Travel FR,Suspension Travel RL,Suspension Travel RR,TC Active,TC Enabled,Throttle Pos,Tire Dirt Level FL,Tire Dirt Level FR,Tire Dirt Level RL,Tire Dirt Level RR,Tire Load FL,Tire Load FR,Tire Load RL,Tire Load RR,Tire Loaded Radius FL,Tire Loaded Radius FR,Tire Loaded Radius RL,Tire Loaded Radius RR,Tire Pressure FL,Tire Pressure FR,Tire Pressure RL,Tire Pressure RR,Tire Radius FL,Tire Radius FR,Tire Radius RL,Tire Radius RR,Tire Rubber Grip FL,Tire Rubber Grip FR,Tire Rubber Grip RL,Tire Rubber Grip RR,Tire Slip Angle FL,Tire Slip Angle FR,Tire Slip Angle RL,Tire Slip Angle RR,Tire Slip Ratio FL,Tire Slip Ratio FR,Tire Slip Ratio RL,Tire Slip Ratio RR,Tire Temp Core FL,Tire Temp Core FR,Tire Temp Core RL,Tire Temp Core RR,Tire Temp Inner FL,Tire Temp Inner FR,Tire Temp Inner RL,Tire Temp Inner RR,Tire Temp Middle FL,Tire Temp Middle FR,Tire Temp Middle RL,Tire Temp Middle RR,Tire Temp Outer FL,Tire Temp Outer FR,Tire Temp Outer RL,Tire Temp Outer RR,Toe In FL,Toe In FR,Toe In RL,Toe In RR,Turbo Boost,Wheel Angular Speed FL,Wheel Angular Speed FR,Wheel Angular Speed RL,Wheel Angular Speed RR,Wind Direction,Wind Speed,CG Distance,Lateral Velocity,Longitudinal Velocity,Lateral Acceleration,Longitudinal Acceleration,level,curve_number
286,14.25,472.6,44.053180376680885,-78.67907876728658,25.3,45.4,73.1,94.9,5580.7,5581.0,93.3,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,100.0,1.0,1.186,26.0,0.0,-1.281,50.194,66.0,0.0,26.0,26.0,26.0,26.0,-0.31,0.51,0.07,385.1,-2.4,-2.44,-1.33,-1.55,-419.53,529.55,3.6,0.0,0.0,0.0,0.0,0.28,-7.49,-7.49,-2.57,1.72,-1.15,-1.05,25.93,-0.01,-0.18,7.5,100.0,0.0,0.0,74.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6409.0,0.0,30.0,2.0,93.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.286,14.286,50.194,13.681,0.0,110.0,435.8,8750.0,0.0,0.0,110.0,110.0,433.0,0.0,0.0,0.0,1.0,333.3,78.1,78.1,75.9,75.9,34.0,-34.6,-4.42,-42.1,-3.1,3.0,-198.615,14.7,100.0,17.6,15.6,29.3,26.4,0.0,1.0,58.6,0.0,0.0,0.0,0.0,3627.0,2821.0,4845.0,4315.0,315.8,317.3,343.0,343.8,25.04,23.04,25.97,24.7,325.0,325.0,355.0,355.0,100.0,99.9,100.0,100.0,-0.5,-0.42,-0.53,-0.31,-0.1,-0.1,1.9,2.8,82.5,70.0,82.1,74.1,84.9,73.5,82.1,75.6,81.6,70.3,80.5,73.4,79.1,68.8,79.5,72.4,0.85,-0.86,0.08,0.08,0.0,79.98,79.34,74.57,74.57,174.7,27.6,0.6009159675029446,92.5461396714388,2.1606103100919016,46.81322205760239,-10.803050981435804,1,5
287,14.3,473.9,44.05316841570353,-78.6790784974901,33.3,6.2,93.9,53.8,5582.0,5582.0,94.2,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,100.0,1.0,1.186,26.0,0.0,-1.281,50.194,66.0,0.0,26.0,26.0,26.0,26.0,-0.34,0.48,0.11,382.5,-2.35,-2.54,-1.28,-1.7,-419.5,528.22,3.5,0.0,0.0,0.0,0.0,0.28,-7.49,-7.49,-2.49,0.93,-1.27,-2.13,26.17,-0.02,-0.2,7.25,100.0,0.0,0.0,75.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6458.0,0.0,30.0,2.0,94.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.337,14.337,50.194,13.681,1.0,110.0,435.8,8750.0,0.0,0.0,110.0,110.0,433.0,0.0,0.0,0.0,1.0,333.3,77.2,77.2,71.8,71.8,34.0,-41.2,-6.06,-45.6,-1.6,3.0,-198.67,16.0,100.0,19.3,15.9,34.0,29.1,0.0,1.0,54.7,0.0,0.0,0.0,0.0,3968.0,2507.0,5347.0,4323.0,314.9,318.2,341.7,343.8,25.04,23.04,25.97,24.7,325.0,325.0,355.0,355.0,100.0,99.9,100.0,100.0,-0.57,-0.52,-0.47,-0.3,-0.1,-0.1,1.6,2.5,82.5,70.0,82.1,74.1,84.8,73.4,82.1,75.6,81.6,70.3,80.4,73.4,79.1,68.8,79.5,72.4,0.91,-0.93,0.07,0.07,0.0,80.72,80.05,75.14,75.14,174.7,27.6,0.5984145720150872,96.14715677905546,1.4404068544271444,14.404068828783352,-14.404069113295147,1,5
288,14.35,475.2,44.05315636479401,-78.67907840755794,13.5,-5.8,38.6,17.4,5583.4,5583.0,95.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,100.0,1.0,1.186,26.0,0.0,-1.281,50.194,66.0,0.0,26.0,26.0,26.0,26.0,-0.39,0.49,0.07,382.3,-2.32,-2.58,-1.25,-1.77,-419.49,526.88,3.5,0.0,0.0,0.0,0.0,0.28,-7.49,-7.49,-2.46,-0.04,-1.33,0.46,26.42,-0.01,-0.24,7.9,100.0,0.0,0.0,75.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6531.0,0.0,30.0,2.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.388,14.388,50.194,13.681,0.0,110.0,435.8,8750.0,0.0,0.0,110.0,110.0,433.0,0.0,0.0,0.0,1.0,166.7,77.3,77.3,71.3,71.3,34.0,-45.9,-8.92,-44.7,-3.1,3.0,-198.715,19.0,100.0,20.0,15.6,36.0,30.0,0.0,1.0,60.2,0.0,0.0,0.0,0.0,3958.0,2335.0,5151.0,3915.0,314.9,318.7,342.1,344.8,25.04,23.04,25.97,24.69,325.0,325.0,355.0,355.0,100.0,99.9,100.0,100.0,-0.7,-0.66,-0.51,-0.35,-0.1,-0.1,1.8,2.7,82.5,70.0,82.0,74.1,84.8,73.4,82.1,75.6,81.5,70.3,80.4,73.4,79.0,68.7,79.5,72.3,1.08,-1.09,0.07,0.07,0.0,81.41,80.72,75.99,75.99,174.7,27.6,0.630158710167526,93.98654655431713,0.7202033987623869,-10.803050981435547,-10.803051550459509,1,5
289,14.4,476.5,44.05314494340961,-78.67907831762578,-4.0,-3.5,-2.4,-3.7,5584.7,5585.0,95.9,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,100.0,1.0,1.186,26.0,0.0,-1.287,50.194,66.0,0.0,26.0,26.0,26.0,26.0,-0.42,0.52,-0.02,382.9,-2.36,-2.52,-1.28,-1.75,-419.48,525.61,3.5,0.0,0.0,0.0,0.0,0.28,-7.49,-7.49,-2.45,0.14,-1.31,0.42,26.65,-0.01,-0.24,9.21,100.0,0.0,0.0,77.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6622.0,0.0,30.0,2.0,95.9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.436,14.436,50.194,13.681,1.0,110.0,435.8,8750.0,0.0,0.0,110.0,110.0,433.0,0.0,0.0,0.0,1.0,333.3,77.7,77.7,72.2,72.2,34.0,-47.6,-12.28,-40.2,-4.8,3.0,-198.765,22.7,100.0,19.8,15.4,35.8,29.8,0.0,1.0,72.7,0.0,0.0,0.0,0.0,3746.0,2354.0,4738.0,3796.0,315.5,318.6,343.2,345.2,25.04,23.04,25.97,24.69,325.0,325.0,355.0,355.0,100.0,99.9,100.0,100.0,-0.84,-0.81,-0.56,-0.41,-0.1,-0.1,2.2,3.2,82.5,70.0,82.0,74.1,84.7,73.4,82.0,75.6,81.5,70.2,80.4,73.3,79.0,68.7,79.5,72.3,1.29,-1.31,0.07,0.07,0.0,82.15,81.41,77.05,77.05,174.7,27.6,0.6687301398920195,95.06685168091191,0.36010169938119346,21.606102531895317,0.0,1,5
290,14.45,477.9,44.053132622703615,-78.67907831762578,-5.9,-4.7,-4.5,-9.1,5586.0,5586.0,96.9,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,100.0,1.0,1.186,26.0,0.0,-1.296,50.194,66.0,0.0,26.0,26.0,26.0,26.0,-0.49,0.6,-0.02,383.2,-2.35,-2.52,-1.24,-1.77,-419.48,524.24,3.4,0.0,0.0,0.0,0.0,0.28,-7.49,-7.49,-2.42,0.57,-1.36,-1.2,26.93,-0.02,-0.23,11.07,100.0,0.0,0.0,78.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6710.0,0.0,30.0,2.0,96.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.487,14.487,50.194,13.681,0.0,110.0,435.8,8750.0,0.0,0.0,110.0,110.0,433.0,0.0,0.0,0.0,1.0,333.3,78.2,78.2,72.3,72.3,34.0,-54.8,-13.9,-45.8,-6.9,3.0,-198.82,27.7,100.0,19.5,15.2,35.6,29.4,0.0,1.0,82.0,0.0,0.0,0.0,0.0,3873.0,2077.0,5004.0,3768.0,315.2,319.3,342.6,345.2,25.04,23.04,25.97,24.69,325.0,325.0,355.0,355.0,100.0,99.9,100.0,100.0,-1.03,-1.0,-0.65,-0.51,-0.1,-0.1,2.4,3.6,82.5,70.0,82.0,74.1,84.7,73.3,82.0,75.6,81.5,70.2,80.4,73.3,79.0,68.7,79.5,72.3,1.56,-1.59,0.07,0.07,0.0,83.14,82.18,78.07,78.07,174.7,27.6,0.7749193506423748,96.14715680750666,0.7202033987623869,18.005085538083136,14.404068544271446,1,5
291,14.5,479.2,44.053120931522734,-78.6790784974901,1.1,-10.2,13.8,-6.8,5587.4,5587.0,97.9,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,100.0,1.0,1.186,26.0,0.0,-1.302,50.194,66.0,0.0,26.0,26.0,26.0,26.0,-0.61,0.57,-0.03,383.0,-2.32,-2.53,-1.18,-1.84,-419.5,522.94,3.4,0.0,0.0,0.0,0.0,0.28,-7.49,-7.49,-2.38,0.48,-1.44,-1.2,27.21,-0.04,-0.22,13.22,100.0,0.0,0.0,78.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6774.0,0.0,30.0,2.0,97.9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.534,14.534,50.194,13.681,1.0,110.0,435.8,8750.0,0.0,0.0,110.0,110.0,433.0,0.0,0.0,0.0,1.0,333.3,78.5,78.5,71.7,71.7,34.0,-65.3,-15.08,-56.8,-9.9,3.0,-198.865,33.7,100.0,19.5,14.7,36.3,29.0,0.0,1.0,80.1,0.0,0.0,0.0,0.0,4107.0,1816.0,5357.0,3711.0,314.6,320.0,341.7,345.4,25.04,23.04,25.96,24.69,325.0,325.0,355.0,355.0,100.0,99.9,100.0,100.0,-1.29,-1.27,-0.78,-0.63,-0.1,-0.1,2.3,3.7,82.5,70.0,82.0,74.1,84.7,73.3,82.0,75.5,81.5,70.2,80.4,73.3,79.0,68.6,79.4,72.3,1.9,-1.93,0.07,0.07,0.0,84.05,82.91,78.82,78.82,174.7,27.6,0.8354040938372279,96.86736023472022,1.800508553808338,75.62135914614544,21.606103100919018,1,5
292,14.55,480.6,44.05310843095241,-78.67907876728658,9.1,-12.3,21.2,-8.2,5588.8,5589.0,98.9,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,100.0,1.0,1.186,26.0,0.0,-1.311,50.194,66.0,0.0,26.0,26.0,26.0,26.0,-0.74,0.49,0.05,382.8,-2.3,-2.53,-1.12,-1.9,-419.53,521.55,3.3,0.0,0.0,0.0,0.0,0.28,-7.49,-7.49,-2.35,-0.11,-1.54,-1.23,27.48,-0.05,-0.22,15.64,100.0,0.0,0.0,79.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6808.0,0.0,30.0,2.0,98.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.586,14.586,50.194,13.681,0.0,110.0,435.8,8750.0,0.0,0.0,110.0,110.0,433.0,0.0,0.0,0.0,1.0,333.3,78.3,78.3,71.5,71.5,34.0,-76.4,-18.18,-69.0,-13.7,3.0,-198.915,41.8,100.0,20.0,14.0,37.4,28.6,0.0,1.0,58.2,0.0,0.0,0.0,0.0,4362.0,1780.0,5459.0,3561.0,313.9,320.2,341.4,345.7,25.04,23.04,25.96,24.69,325.0,325.0,355.0,355.0,100.0,99.9,100.0,100.0,-1.63,-1.64,-0.92,-0.78,-0.1,-0.1,1.8,3.4,82.5,70.0,82.0,74.1,84.7,73.3,82.0,75.5,81.4,70.1,80.4,73.3,78.9,68.6,79.4,72.3,2.34,-2.4,0.07,0.07,0.0,84.94,83.6,79.21,79.21,174.7,27.6,0.8889319434017432,103.7092927221212,2.880813708854289,46.81322234211464,25.20711952570726,1,5
293,14.6,482.0,44.05309503106049,-78.67907921694739,22.4,-7.8,18.2,-24.3,5590.2,5590.0,99.7,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,100.0,1.0,1.186,26.0,0.0,-1.311,50.194,66.0,0.0,26.0,26.0,26.0,26.0,-0.86,0.38,0.04,382.8,-2.27,-2.57,-1.03,-2.0,-419.58,520.06,3.3,0.0,0.0,0.0,0.0,0.28,-7.49,-7.49,-2.34,-0.52,-1.66,-1.86,27.7,-0.07,-0.24,18.52,100.0,0.0,0.0,79.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6836.0,0.0,30.0,2.0,99.7,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.64,14.64,50.194,13.681,1.0,110.0,435.8,8750.0,0.0,0.0,110.0,110.0,433.0,0.0,0.0,0.0,1.0,166.7,77.5,77.5,72.2,72.2,34.0,-89.2,-18.83,-79.5,-15.8,3.0,-198.97,50.0,100.0,21.1,13.7,38.3,27.4,0.0,1.0,40.9,0.0,0.0,0.0,0.0,4787.0,1659.0,5485.0,3211.0,312.9,320.5,341.3,346.6,25.04,23.04,25.96,24.69,325.0,325.0,355.0,355.0,100.0,99.9,100.0,100.0,-1.98,-2.01,-1.06,-0.94,-0.1,-0.1,1.3,3.2,82.5,70.0,82.0,74.1,84.6,73.3,82.0,75.5,81.4,70.1,80.3,73.3,78.9,68.6,79.4,72.3,2.8,-2.89,0.06,0.06,0.0,85.7,84.15,79.54,79.54,174.7,27.6,0.9410632284814873,101.54868246893169,4.321220506379064,-79.22237613995733,32.40915351333111,1,5
294,14.65,483.4,44.053083070083126,-78.6790798464725,26.8,-6.6,13.9,-31.9,5591.5,5592.0,100.2,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,100.0,1.0,1.186,26.0,0.0,-1.323,50.194,66.0,0.0,26.0,26.0,26.0,26.0,-0.98,0.19,0.02,382.8,-2.23,-2.62,-0.92,-2.08,-419.65,518.73,3.2,0.0,0.0,0.0,0.0,0.28,-7.49,-7.49,-2.35,-0.82,-1.79,-1.71,27.82,-0.09,-0.26,20.88,100.0,0.0,0.0,79.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6814.0,0.0,30.0,2.0,100.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.688,14.688,50.194,13.681,0.0,110.0,435.8,8750.0,0.0,0.0,110.0,110.0,433.0,0.0,0.0,0.0,1.0,166.7,76.7,76.7,73.0,73.0,34.0,-98.2,-18.63,-91.2,-18.4,3.0,-199.015,56.3,100.0,22.4,13.3,39.0,25.8,0.0,1.0,21.0,0.0,0.0,0.0,0.0,5163.0,1575.0,5521.0,2879.0,311.9,320.7,341.3,347.5,25.03,23.04,25.96,24.69,325.0,325.0,355.0,355.0,100.0,99.9,100.0,100.0,-2.3,-2.33,-1.23,-1.09,-0.1,-0.1,0.4,2.5,82.5,70.0,82.0,74.1,84.6,73.2,82.0,75.5,81.4,70.1,80.3,73.3,78.9,68.6,79.4,72.3,3.18,-3.27,0.06,0.08,0.0,86.2,84.41,79.29,79.29,174.7,27.6,0.9984487968844471,95.78705510812547,6.1217290601874,-25.207119810219183,36.01017164519044,1,5
295,14.7,484.8,44.053071109105765,-78.67908074579411,30.1,-2.6,9.1,-33.0,5592.9,5593.0,100.4,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,100.0,1.0,1.186,26.0,0.0,-1.338,50.194,66.0,0.0,26.0,26.0,26.0,26.0,-1.09,0.09,0.01,382.8,-2.21,-2.66,-0.83,-2.16,-419.75,517.4,3.2,0.0,0.0,0.0,0.0,0.28,-7.49,-7.49,-2.35,-0.78,-1.91,-1.3,27.88,-0.12,-0.28,23.58,100.0,0.0,0.0,79.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6806.0,0.0,30.0,2.0,100.4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.736,14.736,50.194,13.681,1.0,110.0,435.8,8750.0,0.0,0.0,110.0,110.0,433.0,0.0,0.0,0.0,1.0,166.7,75.5,75.5,74.1,74.1,34.0,-105.5,-18.77,-97.0,-20.6,3.0,-199.065,62.8,100.0,24.0,13.2,39.4,24.1,0.0,1.0,11.1,0.0,0.0,0.0,0.0,5557.0,1556.0,5501.0,2593.0,310.9,320.8,341.3,348.3,25.03,23.03,25.96,24.69,325.0,325.0,355.0,355.0,100.0,99.9,100.0,100.0,-2.59,-2.64,-1.4,-1.27,-0.1,-0.1,0.1,2.0,82.5,70.0,82.0,74.1,84.7,73.2,82.0,75.5,81.4,70.1,80.3,73.3,78.9,68.5,79.4,72.3,3.53,-3.66,0.06,0.08,0.0,86.51,84.49,79.52,78.87,174.7,27.6,1.0937549999885716,99.02797048790977,7.922237670898109,28.80813651951911,36.01017164519044,1,5
