,test sample,loss,accuracy,epoch,batch,learning rate,hidden size,hidden_layer
0,14.0,1.1086402082582936e-05,85.71428571428571,200.0,1.0,0.001,100.0,2.0
0,14.0,1.966933996300213e-05,92.85714285714286,200.0,1.0,0.001,100.0,2.0
0,14.0,1.1086402082582936e-05,64.28571428571429,200.0,1.0,0.001,100.0,2.0
0,14.0,1.2636104656849056e-05,85.71428571428571,200.0,1.0,0.001,100.0,2.0
0,14.0,1.2755313036905136e-05,71.42857142857143,200.0,1.0,0.001,100.0,2.0
0,14.0,1.3947389561508317e-05,71.42857142857143,200.0,1.0,0.001,100.0,2.0
0,14.0,2.372236667724792e-05,64.28571428571429,200.0,1.0,0.001,100.0,2.0
0,14.0,1.2636104656849056e-05,78.57142857142857,200.0,1.0,0.001,100.0,2.0
0,14.0,1.4305012882687151e-05,85.71428571428571,200.0,1.0,0.001,100.0,2.0
0,14.0,1.4185804502631072e-05,64.28571428571429,200.0,1.0,0.001,100.0,2.0
0,14.0,1.585470999998506e-05,71.42857142857143,200.0,1.0,0.001,100.0,2.0
0,14.0,1.5020257706055418e-05,71.42857142857143,200.0,1.0,0.001,100.0,2.0
